sgd_id	gene_id	gene_symbol	gene_name	gene_alias	chr	type
S000000154	YBL058W	SHP1	Suppressor of High-copy PP1	protein phosphatase regulator SHP1|UBX1	chrII	ORF
S000000155	YBL059W	IAI11	Interactor of AIm11		chrII	ORF
S000000156	YBL060W	YEL1	Yeast EFA6-Like	Arf family guanine nucleotide exchange factor YEL1	chrII	ORF
S000000157	YBL061C	SKT5		CAL2|CHS4|CSD4	chrII	ORF
S000000158	YBL062W				chrII	ORF
S000000159	YBL063W	KIP1	KInesin related Protein	CIN9	chrII	ORF
S000000160	YBL064C	PRX1	PeroxiRedoXin	thioredoxin peroxidase PRX1	chrII	ORF
S000000161	YBL065W				chrII	ORF
S000000162	YBL066C	SEF1	Suppressor of Essential Function		chrII	ORF
S000000163	YBL067C	UBP13	UBiquitin-specific Protease	ubiquitin-specific protease UBP13	chrII	ORF
S000000164	YBL068W	PRS4	PhosphoRibosylpyrophosphate Synthetase	ribose phosphate diphosphokinase subunit PRS4	chrII	ORF
S000000165	YBL069W	AST1	ATPase STabilizing		chrII	ORF
S000000166	YBL070C				chrII	ORF
S000000167	YBL071C				chrII	ORF
S000000168	YBL072C	RPS8A	Ribosomal Protein of the Small subunit	eS8|ribosomal 40S subunit protein S8A|rp19|S14A|S8A|S8e|YS9	chrII	ORF
S000000169	YBL073W				chrII	ORF
S000000170	YBL074C	AAR2	A1-Alpha2 Repression	U5 snRNP complex subunit AAR2	chrII	ORF
S000000171	YBL075C	SSA3	Stress-Seventy subfamily A	Hsp70 family ATPase SSA3|YG106	chrII	ORF
S000000172	YBL076C	ILS1	IsoLeucine-tRNA Synthetase	isoleucine--tRNA ligase ILS1	chrII	ORF
S000000173	YBL077W				chrII	ORF
S000000174	YBL078C	ATG8	AuTophaGy related	APG8|AUT7|CVT5|ubiquitin-like protein ATG8	chrII	ORF
S000000175	YBL079W	NUP170	NUclear Pore	NLE3	chrII	ORF
S000000176	YBL080C	PET112	PETite colonies	glutamyl-tRNA(Gln) amidotransferase subunit PET112	chrII	ORF
S000000177	YBL081W				chrII	ORF
S000000178	YBL082C	ALG3	Asparagine Linked Glycosylation	dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase|RHK1	chrII	ORF
S000000179	YBL083C				chrII	ORF
S000000180	YBL084C	CDC27	Cell Division Cycle	anaphase promoting complex subunit CDC27|APC3|SNB1	chrII	ORF
S000000181	YBL085W	BOI1	Bem1 (One) Interacting protein	BOB1|GIN7	chrII	ORF
S000000182	YBL086C				chrII	ORF
S000000183	YBL087C	RPL23A	Ribosomal Protein of the Large subunit	L14|L17aA|L23A|ribosomal 60S subunit protein L23A|uL14|YL32	chrII	ORF
S000000184	YBL088C	TEL1	TELomere maintenance	DNA-binding protein kinase TEL1	chrII	ORF
S000000185	YBL089W	AVT5	Amino acid Vacuolar Transport	amino acid transporter	chrII	ORF
S000000186	YBL090W	MRP21	Mitochondrial Ribosomal Protein	bS21m|mitochondrial 37S ribosomal protein MRP21|MRP50	chrII	ORF
S000000187	YBL091C	MAP2	Methionine AminoPeptidase	methionine aminopeptidase	chrII	ORF
S000000188	YBL092W	RPL32	Ribosomal Protein of the Large subunit	eL32|L32|L32e|ribosomal 60S subunit protein L32	chrII	ORF
S000000189	YBL093C	ROX3	Regulation by OXygen	MED19|NUT3|RMR1|SSN7|SSX2	chrII	ORF
S000000190	YBL094C				chrII	ORF
S000000191	YBL095W	MRX3	Mitochondrial oRganization of gene eXpression (MIOREX)		chrII	ORF
S000000192	YBL096C				chrII	ORF
S000000193	YBL097W	BRN1	homolog of BaRreN	condensin subunit BRN1	chrII	ORF
S000000194	YBL098W	BNA4	Biosynthesis of Nicotinic Acid	kynurenine 3-monooxygenase	chrII	ORF
S000000195	YBL099W	ATP1	ATP synthase	F1F0 ATP synthase subunit alpha	chrII	ORF
S000000196	YBL100C				chrII	ORF
S000000197	YBL101C	ECM21	ExtraCellular Mutant	ART2	chrII	ORF
S000000198	YBL102W	SFT2	Suppressor of sed Five Ts		chrII	ORF
S000000199	YBL103C	RTG3	ReTroGrade regulation		chrII	ORF
S000000200	YBL104C	SEA4	SEh1-Associated	YBL103C-A	chrII	ORF
S000000201	YBL105C	PKC1	Protein Kinase C	CLY15|CLY5|CLY7|HPO2|protein kinase C|RSF8|STT1	chrII	ORF
S000000202	YBL106C	SRO77	Suppressor of rho3	putative Rab GTPase-binding protein SRO77|SNI2|SOP2	chrII	ORF
S000000203	YBL107C	MIX23	Mitochondrial Intermembrane space CX(n)C motif protein	MIC23	chrII	ORF
S000000204	YBL108W				chrII	ORF
S000000205	YBR001C	NTH2	Neutral TreHalase	alpha,alpha-trehalase NTH2	chrII	ORF
S000000206	YBR002C	RER2	Retention in the Endoplasmic Reticulum	ditrans,polycis-polyprenyl diphosphate synthase	chrII	ORF
S000000207	YBR003W	COQ1	COenzyme Q	trans-hexaprenyltranstransferase	chrII	ORF
