Gene stable ID	Transcript stable ID	Protein stable ID	Gene name	Chromosome/scaffold name	Saccharomyces cerevisiae paralogue gene stable ID	Saccharomyces cerevisiae paralogue associated gene name	Saccharomyces cerevisiae paralogue protein or transcript ID	Saccharomyces cerevisiae paralogue chromosome/scaffold name
YBL101C	YBL101C_mRNA	YBL101C	ECM21	II	YPR030W	CSR2	YPR030W	XVI
YBL101C	YBL101C_mRNA	YBL101C	ECM21	II	YJL084C	ALY2	YJL084C	X
YBL101C	YBL101C_mRNA	YBL101C	ECM21	II	YKR021W	ALY1	YKR021W	XI
YBL101C	YBL101C_mRNA	YBL101C	ECM21	II	YOR018W	ROD1	YOR018W	XV
YBL101C	YBL101C_mRNA	YBL101C	ECM21	II	YFR022W	ROG3	YFR022W	VI
YLL040C	YLL040C_mRNA	YLL040C	VPS13	XII				
YDR181C	YDR181C_mRNA	YDR181C	SAS4	IV				
YML116W-A	YML116W-A_mRNA	YML116W-A		XIII				
tG(UCC)O	tG(UCC)O_tRNA		SUF1	XV	tG(UCC)G	SUF4	tG(UCC)G_tRNA	VII
tG(UCC)O	tG(UCC)O_tRNA		SUF1	XV	tG(UCC)N	SUF6	tG(UCC)N_tRNA	XIV
tG(UCC)O	tG(UCC)O_tRNA		SUF1	XV	tG(GCC)E		tG(GCC)E_tRNA	V
tG(UCC)O	tG(UCC)O_tRNA		SUF1	XV	tG(GCC)J2	SUF23	tG(GCC)J2_tRNA	X
tG(UCC)O	tG(UCC)O_tRNA		SUF1	XV	tG(CCC)O	SUF5	tG(CCC)O_tRNA	XV
tG(UCC)O	tG(UCC)O_tRNA		SUF1	XV	tG(GCC)M		tG(GCC)M_tRNA	XIII
tG(UCC)O	tG(UCC)O_tRNA		SUF1	XV	tG(GCC)D2		tG(GCC)D2_tRNA	IV
tG(UCC)O	tG(UCC)O_tRNA		SUF1	XV	tG(GCC)P2		tG(GCC)P2_tRNA	XVI
tG(UCC)O	tG(UCC)O_tRNA		SUF1	XV	tG(GCC)P1		tG(GCC)P1_tRNA	XVI
tG(UCC)O	tG(UCC)O_tRNA		SUF1	XV	tG(GCC)B		tG(GCC)B_tRNA	II
tG(UCC)O	tG(UCC)O_tRNA		SUF1	XV	tG(GCC)C	SUF16	tG(GCC)C_tRNA	III
tG(UCC)O	tG(UCC)O_tRNA		SUF1	XV	tG(GCC)O1		tG(GCC)O1_tRNA	XV
tG(UCC)O	tG(UCC)O_tRNA		SUF1	XV	tG(GCC)F2		tG(GCC)F2_tRNA	VI
tG(UCC)O	tG(UCC)O_tRNA		SUF1	XV	tG(GCC)D1		tG(GCC)D1_tRNA	IV
tG(UCC)O	tG(UCC)O_tRNA		SUF1	XV	tG(GCC)G1		tG(GCC)G1_tRNA	VII
tG(UCC)O	tG(UCC)O_tRNA		SUF1	XV	tG(GCC)O2	SUF17	tG(GCC)O2_tRNA	XV
tG(UCC)O	tG(UCC)O_tRNA		SUF1	XV	tG(GCC)G2		tG(GCC)G2_tRNA	VII
tG(UCC)O	tG(UCC)O_tRNA		SUF1	XV	tG(GCC)J1		tG(GCC)J1_tRNA	X
tG(UCC)O	tG(UCC)O_tRNA		SUF1	XV	tG(GCC)F1	SUF20	tG(GCC)F1_tRNA	VI
tG(UCC)O	tG(UCC)O_tRNA		SUF1	XV	tG(CCC)D	SUF3	tG(CCC)D_tRNA	IV
YPR096C	YPR096C_mRNA	YPR096C		XVI				
YJL210W	YJL210W_mRNA	YJL210W	PEX2	X				
YLR216C	YLR216C_mRNA	YLR216C	CPR6	XII	YML078W	CPR3	YML078W	XIII
YLR216C	YLR216C_mRNA	YLR216C	CPR6	XII	YDR155C	CPR1	YDR155C	IV
YLR216C	YLR216C_mRNA	YLR216C	CPR6	XII	YDR304C	CPR5	YDR304C	IV
YLR216C	YLR216C_mRNA	YLR216C	CPR6	XII	YHR057C	CPR2	YHR057C	VIII
YGL118C	YGL118C_mRNA	YGL118C		VII				
YMR021C	YMR021C_mRNA	YMR021C	MAC1	XIII				
YNL079C	YNL079C_mRNA	YNL079C	TPM1	XIV	YIL138C	TPM2	YIL138C	IX
YBL058W	YBL058W_mRNA	YBL058W	SHP1	II				
YJR127C	YJR127C_mRNA	YJR127C	RSF2	X	YML081W	TDA9	YML081W	XIII
YLR088W	YLR088W_mRNA	YLR088W	GAA1	XII				
YKL128C	YKL128C_mRNA	YKL128C	PMU1	XI				
YLR100W	YLR100W_mRNA	YLR100W	ERG27	XII	YKR009C	FOX2	YKR009C	XI
YLR100W	YLR100W_mRNA	YLR100W	ERG27	XII	YDL114W		YDL114W	IV
YLR100W	YLR100W_mRNA	YLR100W	ERG27	XII	YLR426W	TDA5	YLR426W	XII
YKL106C-A	YKL106C-A_mRNA	YKL106C-A		XI				
YBR080C	YBR080C_mRNA	YBR080C	SEC18	II				
YOR292C	YOR292C_mRNA	YOR292C		XV				
YNL219C	YNL219C_mRNA	YNL219C	ALG9	XIV	YNR030W	ALG12	YNR030W	XIV
YNL219C	YNL219C_mRNA	YNL219C	ALG9	XIV	YGL142C	GPI10	YGL142C	VII
YNL219C	YNL219C_mRNA	YNL219C	ALG9	XIV	YOR149C	SMP3	YOR149C	XV
YPR179C	YPR179C_mRNA	YPR179C	HDA3	XVI				
YOL062C	YOL062C_mRNA	YOL062C	APM4	XV	YPL259C	APM1	YPL259C	XVI
YDR540C	YDR540C_mRNA	YDR540C	IRC4	IV				
YER087W	YER087W_mRNA	YER087W	AIM10	V	YHR020W		YHR020W	VIII
YER087W	YER087W_mRNA	YER087W	AIM10	V	YIL078W	THS1	YIL078W	IX
YOL140W	YOL140W_mRNA	YOL140W	ARG8	XV	YLR438W	CAR2	YLR438W	XII
YOL140W	YOL140W_mRNA	YOL140W	ARG8	XV	YGR019W	UGA1	YGR019W	VII
YOL140W	YOL140W_mRNA	YOL140W	ARG8	XV	YNR058W	BIO3	YNR058W	XIV
YFL009W	YFL009W_mRNA	YFL009W	CDC4	VI	YJL112W	MDV1	YJL112W	X
YFL009W	YFL009W_mRNA	YFL009W	CDC4	VI	YKR036C	CAF4	YKR036C	XI
YFL009W	YFL009W_mRNA	YFL009W	CDC4	VI	YIL046W	MET30	YIL046W	IX
YFL009W	YFL009W_mRNA	YFL009W	CDC4	VI	YER066W	RRT13	YER066W	V
YLL004W	YLL004W_mRNA	YLL004W	ORC3	XII				
YKL057C	YKL057C_mRNA	YKL057C	NUP120	XI				
YPL130W	YPL130W_mRNA	YPL130W	SPO19	XVI				
YDL046W	YDL046W_mRNA	YDL046W	NPC2	IV				
YPL072W	YPL072W_mRNA	YPL072W	UBP16	XVI				
tY(GUA)F1	tY(GUA)F1_tRNA		SUP11	VI	tY(GUA)F2	SUP6	tY(GUA)F2_tRNA	VI
tY(GUA)F1	tY(GUA)F1_tRNA		SUP11	VI	tY(GUA)O	SUP3	tY(GUA)O_tRNA	XV
tY(GUA)F1	tY(GUA)F1_tRNA		SUP11	VI	tY(GUA)J2	SUP4	tY(GUA)J2_tRNA	X
tY(GUA)F1	tY(GUA)F1_tRNA		SUP11	VI	tY(GUA)M2	SUP8	tY(GUA)M2_tRNA	XIII
tY(GUA)F1	tY(GUA)F1_tRNA		SUP11	VI	tY(GUA)J1	SUP7	tY(GUA)J1_tRNA	X
tY(GUA)F1	tY(GUA)F1_tRNA		SUP11	VI	tY(GUA)M1	SUP5	tY(GUA)M1_tRNA	XIII
tY(GUA)F1	tY(GUA)F1_tRNA		SUP11	VI	tY(GUA)D	SUP2	tY(GUA)D_tRNA	IV
YPR150W	YPR150W_mRNA	YPR150W		XVI				
YER180C	YER180C_mRNA	YER180C	ISC10	V				
YGL157W	YGL157W_mRNA	YGL157W	ARI1	VII	YGL039W		YGL039W	VII
YGL157W	YGL157W_mRNA	YGL157W	ARI1	VII	YOL151W	GRE2	YOL151W	XV
YGL157W	YGL157W_mRNA	YGL157W	ARI1	VII	YDR541C		YDR541C	IV
YGL157W	YGL157W_mRNA	YGL157W	ARI1	VII	YGL001C	ERG26	YGL001C	VII
YGL157W	YGL157W_mRNA	YGL157W	ARI1	VII	YBR019C	GAL10	YBR019C	II
YDR252W	YDR252W_mRNA	YDR252W	BTT1	IV	YPL037C	EGD1	YPL037C	XVI
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YLL025W	PAU17	YLL025W	XII
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YHL046C	PAU13	YHL046C	VIII
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YGR294W	PAU12	YGR294W	VII
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YLL064C	PAU18	YLL064C	XII
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YIL176C	PAU14	YIL176C	IX
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YBL108C-A	PAU9	YBL108C-A	II
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YLR461W	PAU4	YLR461W	XII
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YDR542W	PAU10	YDR542W	IV
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YJR150C	DAN1	YJR150C	X
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YBR301W	PAU24	YBR301W	II
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YEL049W	PAU2	YEL049W	V
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YGL261C	PAU11	YGL261C	VII
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YNR076W	PAU6	YNR076W	XIV
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YAL068C	PAU8	YAL068C	I
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YAR020C	PAU7	YAR020C	I
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YFL020C	PAU5	YFL020C	VI
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YOL161C	PAU20	YOL161C	XV
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YJL223C	PAU1	YJL223C	X
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YJR151C	DAN4	YJR151C	X
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YIR041W	PAU15	YIR041W	IX
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YKL224C	PAU16	YKL224C	XI
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YMR325W	PAU19	YMR325W	XIII
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YOR394W	PAU21	YOR394W	XV
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YPL282C	PAU22	YPL282C	XVI
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YCR104W	PAU3	YCR104W	III
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YIL011W	TIR3	YIL011W	IX
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YBR067C	TIP1	YBR067C	II
YLR037C	YLR037C_mRNA	YLR037C	PAU23	XII	YOR009W	TIR4	YOR009W	XV
YMR307W	YMR307W_mRNA	YMR307W	GAS1	XIII	YLR343W	GAS2	YLR343W	XII
YMR307W	YMR307W_mRNA	YMR307W	GAS1	XIII	YOL030W	GAS5	YOL030W	XV
YMR307W	YMR307W_mRNA	YMR307W	GAS1	XIII	YOL132W	GAS4	YOL132W	XV
YMR307W	YMR307W_mRNA	YMR307W	GAS1	XIII	YMR215W	GAS3	YMR215W	XIII
YIL116W	YIL116W_mRNA	YIL116W	HIS5	IX				
YAL040C	YAL040C_mRNA	YAL040C	CLN3	I				
YGL232W	YGL232W_mRNA	YGL232W	TAN1	VII				
YHR181W	YHR181W_mRNA	YHR181W	SVP26	VIII				
YBR051W	YBR051W_mRNA	YBR051W		II				
YPL259C	YPL259C_mRNA	YPL259C	APM1	XVI	YOL062C	APM4	YOL062C	XV
YDR461C-A	YDR461C-A_mRNA	YDR461C-A		IV				
YJL087C	YJL087C_mRNA	YJL087C	TRL1	X				
YIR005W	YIR005W_mRNA	YIR005W	IST3	IX	YGL044C	RNA15	YGL044C	VII
YDL080C	YDL080C_mRNA	YDL080C	THI3	IV	YLR134W	PDC5	YLR134W	XII
YDL080C	YDL080C_mRNA	YDL080C	THI3	IV	YLR044C	PDC1	YLR044C	XII
YDL080C	YDL080C_mRNA	YDL080C	THI3	IV	YGR087C	PDC6	YGR087C	VII
YDL080C	YDL080C_mRNA	YDL080C	THI3	IV	YEL020C	PXP1	YEL020C	V
YJL209W	YJL209W_mRNA	YJL209W	CBP1	X				
YLR286C	YLR286C_mRNA	YLR286C	CTS1	XII				
YEL044W	YEL044W_mRNA	YEL044W	IES6	V				
YOR371C	YOR371C_mRNA	YOR371C	GPB1	XV	YAL056W	GPB2	YAL056W	I
YLR071C	YLR071C_mRNA	YLR071C	RGR1	XII				
YBL050W	YBL050W_mRNA	YBL050W	SEC17	II				
YOR025W	YOR025W_mRNA	YOR025W	HST3	XV				
YHL001W	YHL001W_mRNA	YHL001W	RPL14B	VIII	YKL006W	RPL14A	YKL006W	XI
YJR042W	YJR042W_mRNA	YJR042W	NUP85	X				
YNL185C	YNL185C_mRNA	YNL185C	MRPL19	XIV	YDR418W	RPL12B	YDR418W	IV
YNL185C	YNL185C_mRNA	YNL185C	MRPL19	XIV	YEL054C	RPL12A	YEL054C	V
YBR129C	YBR129C_mRNA	YBR129C	OPY1	II				
YKL145W	YKL145W_mRNA	YKL145W	RPT1	XI	YGL048C	RPT6	YGL048C	VII
YKL145W	YKL145W_mRNA	YKL145W	RPT1	XI	YOR259C	RPT4	YOR259C	XV
YKL145W	YKL145W_mRNA	YKL145W	RPT1	XI	YDL007W	RPT2	YDL007W	IV
YKL145W	YKL145W_mRNA	YKL145W	RPT1	XI	YDR394W	RPT3	YDR394W	IV
YKL145W	YKL145W_mRNA	YKL145W	RPT1	XI	YOR117W	RPT5	YOR117W	XV
YIL015W	YIL015W_mRNA	YIL015W	BAR1	IX	YDR144C	MKC7	YDR144C	IV
YIL015W	YIL015W_mRNA	YIL015W	BAR1	IX	YIR039C	YPS6	YIR039C	IX
YIL015W	YIL015W_mRNA	YIL015W	BAR1	IX	YLR120C	YPS1	YLR120C	XII
YIL015W	YIL015W_mRNA	YIL015W	BAR1	IX	YLR121C	YPS3	YLR121C	XII
YIL015W	YIL015W_mRNA	YIL015W	BAR1	IX	YDR349C	YPS7	YDR349C	IV
YPL018W	YPL018W_mRNA	YPL018W	CTF19	XVI				
YLR160C	YLR160C_mRNA	YLR160C	ASP3-4	XII	YLR182W	SWI6	YLR182W	XII
YLR160C	YLR160C_mRNA	YLR160C	ASP3-4	XII	YKL043W	PHD1	YKL043W	XI
YLR160C	YLR160C_mRNA	YLR160C	ASP3-4	XII	YMR016C	SOK2	YMR016C	XIII
YLR160C	YLR160C_mRNA	YLR160C	ASP3-4	XII	YLR158C	ASP3-3	YLR158C	XII
YLR160C	YLR160C_mRNA	YLR160C	ASP3-4	XII	YLR155C	ASP3-1	YLR155C	XII
YLR160C	YLR160C_mRNA	YLR160C	ASP3-4	XII	YLR157C	ASP3-2	YLR157C	XII
YIL047C	YIL047C_mRNA	YIL047C	SYG1	IX	YFL004W	VTC2	YFL004W	VI
YIL047C	YIL047C_mRNA	YIL047C	SYG1	IX	YPL019C	VTC3	YPL019C	XVI
YIL047C	YIL047C_mRNA	YIL047C	SYG1	IX	YER072W	VTC1	YER072W	V
YIL047C	YIL047C_mRNA	YIL047C	SYG1	IX	YJL012C	VTC4	YJL012C	X
YBL039C-A	YBL039C-A_mRNA	YBL039C-A		II				
YOR061W	YOR061W_mRNA	YOR061W	CKA2	XV	YIL035C	CKA1	YIL035C	IX
YJR005C-A	YJR005C-A_mRNA	YJR005C-A	LSO1	X	YGR169C-A		YGR169C-A	VII
YLR352W	YLR352W_mRNA	YLR352W		XII				
YDR068W	YDR068W_mRNA	YDR068W	DOS2	IV				
tS(GCU)O	tS(GCU)O_tRNA			XV	tS(GCU)F		tS(GCU)F_tRNA	VI
YJL128C	YJL128C_mRNA	YJL128C	PBS2	X	YOR231W	MKK1	YOR231W	XV
YJL128C	YJL128C_mRNA	YJL128C	PBS2	X	YPL140C	MKK2	YPL140C	XVI
YPL228W	YPL228W_mRNA	YPL228W	CET1	XVI				
YML036W	YML036W_mRNA	YML036W	CGI121	XIII				
YKL114C	YKL114C_mRNA	YKL114C	APN1	XI				
YDR078C	YDR078C_mRNA	YDR078C	SHU2	IV				
snR7-L	snR7-L_snRNA			VII	snR7-S		snR7-S_snRNA	VII
YCR105W	YCR105W_mRNA	YCR105W	ADH7	III	YJR159W	SOR1	YJR159W	X
YCR105W	YCR105W_mRNA	YCR105W	ADH7	III	YDL246C	SOR2	YDL246C	IV
YCR105W	YCR105W_mRNA	YCR105W	ADH7	III	YLR070C	XYL2	YLR070C	XII
YCR105W	YCR105W_mRNA	YCR105W	ADH7	III	YCR102C		YCR102C	III
YCR105W	YCR105W_mRNA	YCR105W	ADH7	III	YLR460C		YLR460C	XII
YCR105W	YCR105W_mRNA	YCR105W	ADH7	III	YNL134C		YNL134C	XIV
YCR105W	YCR105W_mRNA	YCR105W	ADH7	III	YOL086C	ADH1	YOL086C	XV
YCR105W	YCR105W_mRNA	YCR105W	ADH7	III	YMR303C	ADH2	YMR303C	XIII
YCR105W	YCR105W_mRNA	YCR105W	ADH7	III	YBR145W	ADH5	YBR145W	II
YCR105W	YCR105W_mRNA	YCR105W	ADH7	III	YMR083W	ADH3	YMR083W	XIII
YCR105W	YCR105W_mRNA	YCR105W	ADH7	III	YBL069W	AST1	YBL069W	II
YCR105W	YCR105W_mRNA	YCR105W	ADH7	III	YBL068W-A		YBL068W-A	II
YCR105W	YCR105W_mRNA	YCR105W	ADH7	III	YER101C	AST2	YER101C	V
YCR105W	YCR105W_mRNA	YCR105W	ADH7	III	YBR046C	ZTA1	YBR046C	II
YCR105W	YCR105W_mRNA	YCR105W	ADH7	III	YDL168W	SFA1	YDL168W	IV
YCR105W	YCR105W_mRNA	YCR105W	ADH7	III	YBR026C	ETR1	YBR026C	II
YCR105W	YCR105W_mRNA	YCR105W	ADH7	III	YMR152W	YIM1	YMR152W	XIII
YCR105W	YCR105W_mRNA	YCR105W	ADH7	III	YAL060W	BDH1	YAL060W	I
YCR105W	YCR105W_mRNA	YCR105W	ADH7	III	YAL061W	BDH2	YAL061W	I
YCR105W	YCR105W_mRNA	YCR105W	ADH7	III	YMR318C	ADH6	YMR318C	XIII
YJR083C	YJR083C_mRNA	YJR083C	ACF4	X				
YDR248C	YDR248C_mRNA	YDR248C		IV				
snR82	snR82_snoRNA			VII				
YPL199C	YPL199C_mRNA	YPL199C		XVI				
YNL136W	YNL136W_mRNA	YNL136W	EAF7	XIV				
YLL045C	YLL045C_mRNA	YLL045C	RPL8B	XII	YDL208W	NHP2	YDL208W	IV
YLL045C	YLL045C_mRNA	YLL045C	RPL8B	XII	YGL135W	RPL1B	YGL135W	VII
YLL045C	YLL045C_mRNA	YLL045C	RPL8B	XII	YPL220W	RPL1A	YPL220W	XVI
YLL045C	YLL045C_mRNA	YLL045C	RPL8B	XII	YHL033C	RPL8A	YHL033C	VIII
YOR316C-A	YOR316C-A_mRNA	YOR316C-A		XV				
YNL264C	YNL264C_mRNA	YNL264C	PDR17	XIV	YNL231C	PDR16	YNL231C	XIV
YNL264C	YNL264C_mRNA	YNL264C	PDR17	XIV	YLR380W	CSR1	YLR380W	XII
YLR320W	YLR320W_mRNA	YLR320W	MMS22	XII				
YBR028C	YBR028C_mRNA	YBR028C	YPK3	II	YNR047W	FPK1	YNR047W	XIV
YBR028C	YBR028C_mRNA	YBR028C	YPK3	II	YCR091W	KIN82	YCR091W	III
YKL098W	YKL098W_mRNA	YKL098W	MTC2	XI				
YBR063C	YBR063C_mRNA	YBR063C		II				
YJL052C-A	YJL052C-A_mRNA	YJL052C-A		X				
YPR060C	YPR060C_mRNA	YPR060C	ARO7	XVI				
YLL013C	YLL013C_mRNA	YLL013C	PUF3	XII	YJR091C	JSN1	YJR091C	X
