GENE_id	mapped_id	ENSG	chr	GeneStart	mu	pLI	loeuf	zscore_mis	zscore_syn	mmdg	cmdg	non_mdg	partition	any_disease	target
ENSG00000003137	33	ENSG00000003137	2	72129238.0	3.2438e-07	0.99987	0.371	1.2829	-0.23942	1.0	0.0	0.0	7	1.0	1
ENSG00000003147	34	ENSG00000003147	7	8113184.0	7.5069e-07	4.7693e-05	0.75	0.55246	0.23996	0.0	0.0	0.0	5	0.0	0
ENSG00000003249	35	ENSG00000003249	16	90004871.0	4.3282e-07	0.00011312	1.46	-0.64035	-0.67381	0.0	0.0	0.0	6	0.0	0
ENSG00000003393	36	ENSG00000003393	2	201700267.0	2.2762e-06	2.816e-17	0.649	2.9747	1.0096	1.0	0.0	0.0	2	1.0	1
ENSG00000003400	37	ENSG00000003400	2	201182872.0	6.4217e-07	6.3858e-09	1.046	0.61351	0.72154	1.0	0.0	0.0	8	1.0	1
ENSG00000003402	38	ENSG00000003402	2	201116154.0	9.1426e-07	0.9993	0.397	2.8938	0.47929	0.0	0.0	0.0	7	0.0	0
ENSG00000003436	39	ENSG00000003436	2	187464230.0	6.0341e-07	0.90136	0.558	1.4962	0.98076	0.0	0.0	0.0	2	0.0	0
ENSG00000003509	40	ENSG00000003509	2	37231631.0	8.2749e-07	7.0019e-17	1.342	-1.1759	-0.8183	0.0	0.0	0.0	1	0.0	0
ENSG00000003756	41	ENSG00000003756	3	50088919.0	1.4149e-06	1.0	0.202	5.2026	1.1753	0.0	0.0	0.0	4	0.0	0
ENSG00000003987	42	ENSG00000003987	8	17296794.0	1.1598e-06	2.8343e-22	1.121	-2.215	-2.1159	0.0	0.0	0.0	3	0.0	0
ENSG00000003989	43	ENSG00000003989	8	17497088.0	6.3096e-07	1.9433e-14	1.13	-2.0691	-1.1602	0.0	0.0	0.0	4	0.0	0
ENSG00000004059	44	ENSG00000004059	7	127588386.0	2.4314e-07	0.35162	0.685	2.2684	-0.6046	0.0	0.0	0.0	1	0.0	0
ENSG00000004139	45	ENSG00000004139	17	28364356.0	3.6653e-07	2.2792e-23	1.413	-0.65878	-1.3109	0.0	0.0	0.0	7	0.0	0
ENSG00000004142	46	ENSG00000004142	17	28346633.0	6.7859e-07	8.2864e-06	1.065	1.092	-0.54349	0.0	0.0	0.0	5	0.0	0
ENSG00000004399	47	ENSG00000004399	3	129555214.0	1.529e-06	1.0	0.401	2.7074	-1.7653	1.0	0.0	0.0	4	1.0	1
ENSG00000004455	48	ENSG00000004455	1	33007986.0	6.1387e-07	0.00086478	0.954	0.77091	0.17273	1.0	0.0	0.0	4	1.0	1
ENSG00000004468	49	ENSG00000004468	4	15778275.0	2.537e-07	1.3957e-05	1.292	0.34252	0.44215	0.0	0.0	0.0	2	0.0	0
ENSG00000004478	50	ENSG00000004478	12	2794970.0	6.7439e-07	0.00012732	0.735	0.97009	-0.5055	0.0	0.0	0.0	6	0.0	0
ENSG00000004487	51	ENSG00000004487	1	23019443.0	8.747e-07	0.003442	0.638	3.796	-0.028337	1.0	1.0	0.0	8	2.0	1
ENSG00000004534	52	ENSG00000004534	3	49940007.0	2.4648e-06	1.0	0.213	2.9854	1.4833	0.0	0.0	0.0	3	0.0	0
ENSG00000004660	53	ENSG00000004660	17	3860315.0	7.6543e-07	0.99628	0.471	1.1669	0.72043	0.0	0.0	0.0	9	0.0	0
ENSG00000004700	54	ENSG00000004700	12	21468910.0	7.1036e-07	1.0681000000000001e-19	1.235	1.0791	0.44337	1.0	0.0	0.0	10	1.0	1
ENSG00000004766	55	ENSG00000004766	7	93232340.0	2.392e-07	0.1061	0.781	1.2116	-0.02969	1.0	0.0	0.0	7	1.0	1
ENSG00000004776	56	ENSG00000004776	19	35754566.0	1.2428e-07	1.2214e-06	1.938	-1.4343	-1.9692	0.0	0.0	0.0	10	0.0	0
ENSG00000004777	57	ENSG00000004777	19	35774532.0	2.4218e-06	2.8164e-05	0.59	1.7937	0.51337	0.0	0.0	0.0	2	0.0	0
ENSG00000004779	58	ENSG00000004779	16	23581014.0	1.7726e-07	0.87239	0.613	0.52456	-0.36992	0.0	0.0	0.0	3	0.0	0
ENSG00000004799	59	ENSG00000004799	7	95583499.0	2.6832e-07	0.0037822	1.244	0.049131	-0.22863	0.0	0.0	0.0	6	0.0	0
ENSG00000004809	60	ENSG00000004809	6	110424687.0	7.2654e-07	3.097e-17	1.272	0.036819	-0.38221	0.0	0.0	0.0	8	0.0	0
ENSG00000004838	61	ENSG00000004838	3	50341110.0	6.2526e-07	1.0961e-14	1.008	1.9365	1.0912	1.0	0.0	0.0	2	1.0	1
ENSG00000004846	62	ENSG00000004846	7	20615667.0	1.9072e-06	2.1065e-45	1.178	-2.0603	-1.6446	0.0	0.0	0.0	9	0.0	0
ENSG00000004848	63	ENSG00000004848	X	25003694.0						1.0	0.0	0.0	4	1.0	1
ENSG00000004864	64	ENSG00000004864	7	96120220.0	1.5134e-06	5.0062e-18	0.937	1.1534	1.4654	1.0	0.0	0.0	1	1.0	1
ENSG00000004866	65	ENSG00000004866	7	116953238.0	9.7283e-07	0.92163	0.52	3.6992	-0.0071719	0.0	0.0	0.0	3	0.0	0
ENSG00000004897	66	ENSG00000004897	17	47117703.0	8.3302e-08	0.96144	0.38	1.4195	0.070202	0.0	0.0	0.0	2	0.0	0
ENSG00000004939	67	ENSG00000004939	17	44248390.0	1.0992e-06	0.99999	0.407	2.7972	1.1802	1.0	1.0	0.0	5	2.0	1
ENSG00000004948	68	ENSG00000004948	7	93424486.0	5.7814e-07	1.6157e-06	1.039	0.83346	-0.13128	0.0	1.0	0.0	10	1.0	-1
ENSG00000004961	69	ENSG00000004961	X	11111301.0						1.0	0.0	0.0	3	1.0	1
ENSG00000004975	70	ENSG00000004975	17	7225342.0	1.0504e-06	2.9734e-06	0.719	1.0542	-0.80105	0.0	0.0	0.0	4	0.0	0
ENSG00000005001	71	ENSG00000005001	16	2852730.0	2.9789e-07	4.6699e-09	1.296	-0.90841	-2.2346	0.0	0.0	0.0	2	0.0	0
ENSG00000005007	72	ENSG00000005007	19	18831959.0	6.9755e-07	1.0	0.125	6.8453	-0.24933	0.0	0.0	0.0	8	0.0	0
ENSG00000005020	73	ENSG00000005020	7	26667068.0	8.7579e-08	0.056312	1.507	0.15205	-0.89238	0.0	0.0	0.0	9	0.0	0
ENSG00000005022	74	ENSG00000005022	X	119468422.0						0.0	0.0	0.0	10	0.0	0
ENSG00000005059	75	ENSG00000005059	4	109560209.0	6.0492e-08	0.11793	1.487	0.43288	1.1281	0.0	0.0	0.0	7	0.0	0
ENSG00000005073	76	ENSG00000005073	7	27181157.0	2.0871e-07	0.8463	0.605	0.78809	-0.60903	1.0	0.0	0.0	10	1.0	1
ENSG00000005075	77	ENSG00000005075	7	102473128.0	2.3486e-07	7.9495e-06	1.886	1.5237	0.77255	0.0	0.0	0.0	4	0.0	0
ENSG00000005100	78	ENSG00000005100	17	5440917.0	1.0067e-06	3.7704e-07	0.743	1.3623	0.66318	0.0	0.0	0.0	3	0.0	0
ENSG00000005102	79	ENSG00000005102	17	43640389.0	5.7902e-07	5.4063e-05	1.142	-0.12193	-0.03008	1.0	0.0	0.0	9	1.0	1
ENSG00000005108	80	ENSG00000005108	7	11370365.0	2.1501e-06	0.013145	0.5	-1.4005	-3.8172	0.0	0.0	0.0	8	0.0	0
ENSG00000005156	81	ENSG00000005156	17	34980512.0	1.3314e-06	5.7013e-07	0.627	2.4161	1.8612	1.0	0.0	0.0	1	1.0	1
ENSG00000005175	82	ENSG00000005175	12	47661249.0	3.6805e-07	7.2152e-07	1.144	0.52157	0.11517	0.0	0.0	0.0	4	0.0	0
ENSG00000005187	83	ENSG00000005187	16	20610243.0	1.1902e-06	5.1473e-16	0.999	1.0961	1.2967	0.0	0.0	1.0	4	1.0	-1
ENSG00000005189	84	ENSG00000005189	16	20806429.0	6.1104e-07	0.00026021	0.685	1.8114	1.1188	0.0	0.0	0.0	1	0.0	0
ENSG00000005194	85	ENSG00000005194	16	57428187.0	4.7243e-07	0.21437	0.687	1.3147	0.52498	0.0	0.0	0.0	9	0.0	0
ENSG00000005206	86	ENSG00000005206	19	2328615.0	5.0164e-07	2.862e-12	1.108	-1.3362	-2.6181	0.0	0.0	0.0	7	0.0	0
ENSG00000005238	87	ENSG00000005238	9	35104112.0	8.7493e-07	0.49097	0.605	0.60055	0.14854	0.0	0.0	0.0	7	0.0	0
ENSG00000005243	88	ENSG00000005243	17	48026167.0	2.4049e-07	2.9048e-07	1.367	-0.11289	0.42463	0.0	0.0	0.0	4	0.0	0
ENSG00000005249	89	ENSG00000005249	7	107044705.0	3.4644e-07	0.54152	0.658	0.97873	-0.72972	0.0	0.0	0.0	9	0.0	0
ENSG00000005302	90	ENSG00000005302	X	11758159.0						1.0	0.0	0.0	5	1.0	1
ENSG00000005339	91	ENSG00000005339	16	3725054.0	1.8316e-06	1.0	0.101	4.7763	-2.9844	1.0	0.0	0.0	10	1.0	1
ENSG00000005379	92	ENSG00000005379	17	58301228.0	2.0329e-06	4.8301e-08	0.573	1.7126	1.1802	1.0	0.0	0.0	3	1.0	1
ENSG00000005381	93	ENSG00000005381	17	58269855.0	7.1287e-07	3.3865e-16	0.992	0.81986	0.21386	1.0	1.0	0.0	2	2.0	1
ENSG00000005421	94	ENSG00000005421	7	95297676.0	9.0311e-07	8.4435e-12	1.159	0.67701	0.51275	0.0	1.0	0.0	1	1.0	-1
ENSG00000005436	95	ENSG00000005436	2	75652000.0	9.4848e-08	2.1464e-05	1.945	-2.8594	-2.1564	0.0	0.0	0.0	10	0.0	0
ENSG00000005448	96	ENSG00000005448	2	74421678.0	5.9608e-07	7.811e-15	1.222	0.75202	0.4478	0.0	0.0	0.0	10	0.0	0
ENSG00000005469	97	ENSG00000005469	7	87345664.0	1.3455e-06	1.9449e-13	1.003	0.61739	1.406	0.0	0.0	0.0	4	0.0	0
ENSG00000005471	98	ENSG00000005471	7	87401696.0	1.5349e-06	1.7893e-08	0.623	3.5556	1.8181	1.0	0.0	0.0	6	1.0	1
ENSG00000005483	99	ENSG00000005483	7	104940943.0	1.1959e-06	1.0	0.217	1.4433	-0.13129	1.0	0.0	0.0	4	1.0	1
ENSG00000005486	100	ENSG00000005486	7	75842602.0	1.868e-07	0.0039406	1.125	-0.13007	-0.53856	0.0	0.0	0.0	9	0.0	0
ENSG00000005513	101	ENSG00000005513	16	981444.0	2.1461e-07	0.043256	0.904	-2.6214	-4.1059	0.0	0.0	0.0	10	0.0	0
ENSG00000005700	102	ENSG00000005700	6	82169986.0	7.6633e-07	0.0064632	0.626	1.881	0.77043	0.0	0.0	0.0	10	0.0	0
ENSG00000005801	103	ENSG00000005801	11	3339261.0	3.6715e-07	0.094636	0.87	2.2013	1.3238	0.0	0.0	0.0	1	0.0	0
ENSG00000005810	104	ENSG00000005810	13	77042474.0	2.0648e-06	1.0	0.243	7.6673	1.2994	0.0	0.0	0.0	3	0.0	0
ENSG00000005812	105	ENSG00000005812	13	76992598.0	5.0168e-07	0.92159	0.546	3.135	-0.33784	1.0	0.0	0.0	1	1.0	1
ENSG00000005844	106	ENSG00000005844	16	30472658.0	1.2261e-06	9.4665e-06	0.595	2.6298	1.0206	0.0	0.0	0.0	10	0.0	0
ENSG00000005882	107	ENSG00000005882	17	50094737.0	6.977e-07	1.9791e-07	0.92	2.5804	-0.20943	0.0	0.0	0.0	5	0.0	0
ENSG00000005884	108	ENSG00000005884	17	50055968.0	1.6929e-06	2.2512e-10	0.69	2.7063	0.56846	1.0	0.0	0.0	10	1.0	1
ENSG00000005889	109	ENSG00000005889	X	24149173.0						1.0	0.0	0.0	1	1.0	1
ENSG00000005893	110	ENSG00000005893	X	120426148.0						1.0	0.0	0.0	7	1.0	1
ENSG00000005961	111	ENSG00000005961	17	44372180.0	1.5969e-06	9.191400000000001e-19	0.763	1.3317	0.84086	1.0	0.0	0.0	7	1.0	1
ENSG00000005981	112	ENSG00000005981	7	95478444.0	4.6375e-07	5.3145e-10	1.226	-0.066218	0.49895	0.0	0.0	0.0	5	0.0	0
ENSG00000006007	113	ENSG00000006007	16	19501693.0	2.5814e-07	0.00080579	1.576	0.21016	-0.68338	0.0	0.0	0.0	9	0.0	0
ENSG00000006015	114	ENSG00000006015	19	18588685.0	2.3811e-07	4.1463e-10	1.864	-1.7876	-3.0215	0.0	0.0	0.0	5	0.0	0
ENSG00000006016	115	ENSG00000006016	19	18572220.0	5.603e-07	8.3681e-10	1.045	0.52571	-0.24105	1.0	0.0	0.0	8	1.0	1
ENSG00000006025	116	ENSG00000006025	17	47807372.0	1.6558e-06	2.5065e-11	0.706	2.551	0.15741	0.0	0.0	0.0	7	0.0	0
ENSG00000006042	117	ENSG00000006042	17	32927910.0	6.3688e-07	2.9227e-05	1.072	1.1763	0.52716	1.0	0.0	0.0	9	1.0	1
ENSG00000006047	118	ENSG00000006047	17	7288263.0	9.6554e-07	1.0	0.266	1.0134	0.10346	0.0	0.0	0.0	1	0.0	0
ENSG00000006059	119	ENSG00000006059	17	41346092.0	4.4503e-07	7.4036e-17	1.377	-0.0052252	0.1572	0.0	0.0	0.0	1	0.0	0
ENSG00000006062	120	ENSG00000006062	17	45263119.0	9.8833e-07	1.0	0.263	4.5145	0.87241	1.0	0.0	0.0	2	1.0	1
ENSG00000006071	121	ENSG00000006071	11	17392498.0	1.5506e-06	9.534400000000001e-33	0.829	2.8451	1.1937	1.0	0.0	0.0	10	1.0	1
ENSG00000006116	122	ENSG00000006116	16	24256335.0	8.6424e-07	0.99983	0.296	3.3403	-0.14457	0.0	0.0	0.0	9	0.0	0
ENSG00000006118	123	ENSG00000006118	11	60924460.0	9.5863e-07	4.6824e-14	1.026	0.45548	0.040041	0.0	0.0	0.0	9	0.0	0
ENSG00000006125	124	ENSG00000006125	17	35578046.0	7.9423e-07	1.0	0.275	6.5905	1.3547	0.0	0.0	0.0	5	0.0	0
ENSG00000006128	125	ENSG00000006128	7	97732084.0	1.8186e-07	0.30564	0.814	0.601	0.073115	0.0	0.0	0.0	1	0.0	0
ENSG00000006194	126	ENSG00000006194	16	3283283.0	7.2701e-07	1.704e-13	0.986	0.27007	-0.46416	0.0	0.0	0.0	9	0.0	0
ENSG00000006210	127	ENSG00000006210	16	57372477.0	2.5707e-07	0.91048	0.577	0.43367	-0.9394	0.0	0.0	0.0	7	0.0	0
ENSG00000006282	128	ENSG00000006282	17	50543058.0	1.8326e-06	3.8511e-18	0.882	0.72026	0.3625	0.0	0.0	0.0	7	0.0	0
ENSG00000006283	129	ENSG00000006283	17	50560715.0	1.8874e-06	1.0	0.406	5.0503	0.1931	1.0	0.0	0.0	4	1.0	1
ENSG00000006327	130	ENSG00000006327	16	3018445.0	2.2762e-07	3.9133e-05	1.5	-0.90137	-1.8593	0.0	0.0	0.0	10	0.0	0
ENSG00000006377	131	ENSG00000006377	7	97005553.0	2.7901e-07	0.99841	0.379	-0.65997	-1.7308	0.0	0.0	0.0	9	0.0	0
ENSG00000006432	132	ENSG00000006432	14	70722526.0	1.2327e-06	1.87e-06	0.674	1.6109	1.0585	0.0	0.0	0.0	5	0.0	0
ENSG00000006451	133	ENSG00000006451	7	39623565.0	5.1677e-07	0.94757	0.54	3.5117	0.64794	1.0	0.0	0.0	5	1.0	1
ENSG00000006453	134	ENSG00000006453	7	98291650.0	1.0645e-06	0.0011208	0.669	0.37045	-0.83251	0.0	0.0	0.0	7	0.0	0
ENSG00000006459	135	ENSG00000006459	7	140084746.0	7.5151e-07	0.99989	0.405	1.1127	-0.99827	0.0	0.0	0.0	1	0.0	0
ENSG00000006468	136	ENSG00000006468	7	13891229.0	5.7251e-07	0.054283	0.658	0.51117	-0.82331	0.0	0.0	0.0	2	0.0	0
ENSG00000006530	137	ENSG00000006530	7	141551278.0	6.2323e-07	7.3523e-06	0.918	1.0683	-0.10226	1.0	0.0	0.0	3	1.0	1
ENSG00000006534	138	ENSG00000006534	11	68008578.0	6.6076e-07	5.5371e-12	1.217	-0.013463	-1.1765	0.0	0.0	0.0	10	0.0	0
ENSG00000006555	139	ENSG00000006555	1	54779712.0	6.1293e-07	1.0322e-13	1.378	-1.46	-1.6749	0.0	0.0	0.0	9	0.0	0
ENSG00000006576	140	ENSG00000006576	7	77798773.0	3.8388e-07	0.004245	1.115	1.3624	0.79142	0.0	0.0	0.0	5	0.0	0
ENSG00000006606	141	ENSG00000006606	7	75769533.0	3.1098e-07	0.0045374	1.782	0.10077	0.50593	0.0	0.0	0.0	7	0.0	0
ENSG00000006607	142	ENSG00000006607	2	241356285.0	9.0787e-07	4.4245e-19	1.005	-0.17762	0.27246	0.0	0.0	0.0	6	0.0	0
ENSG00000006611	143	ENSG00000006611	11	17493895.0	1.8148e-06	1.9134999999999998e-22	0.876	0.057774	-0.53328	1.0	0.0	0.0	1	1.0	1
ENSG00000006625	144	ENSG00000006625	7	30496621.0	3.2307e-07	4.8489e-05	1.335	0.64265	0.66936	0.0	0.0	0.0	2	0.0	0
ENSG00000006634	145	ENSG00000006634	7	87876216.0	6.6197e-07	0.99487	0.475	1.5931	1.3278	0.0	0.0	0.0	7	0.0	0
ENSG00000006638	146	ENSG00000006638	19	3594507.0	1.7371e-07	8.0489e-06	1.48	-0.10287	-1.1581	0.0	1.0	0.0	4	1.0	-1
ENSG00000006652	147	ENSG00000006652	7	112422887.0	4.3406e-07	0.00096007	0.815	0.65361	0.54468	0.0	0.0	0.0	3	0.0	0
ENSG00000006659	148	ENSG00000006659	19	39704481.0	4.4746e-07	2.1776e-05	1.605	-0.18411	0.44594	0.0	0.0	0.0	10	0.0	0
ENSG00000006695	149	ENSG00000006695	17	14069490.0	6.0208e-07	4.7226e-07	0.934	1.3958	0.14622	1.0	0.0	0.0	7	1.0	1
ENSG00000006704	150	ENSG00000006704	7	74453790.0	1.1579e-06	1.0	0.309	3.8988	1.2939	0.0	0.0	0.0	3	0.0	0
ENSG00000006712	151	ENSG00000006712	19	39385629.0	9.7453e-07	0.023941	0.596	3.8716	-0.17724	0.0	0.0	0.0	10	0.0	0
ENSG00000006715	152	ENSG00000006715	7	38722974.0	1.4173e-06	4.3391e-14	0.904	1.4655	-0.0029195	1.0	0.0	0.0	4	1.0	1
ENSG00000006740	153	ENSG00000006740	17	12789498.0	1.2954e-06	0.0011289	0.605	1.487	-1.2821	0.0	0.0	0.0	3	0.0	0
ENSG00000006744	154	ENSG00000006744	17	12991612.0	1.2013e-06	2.8305e-27	1.02	-0.074804	-1.4805	1.0	1.0	0.0	6	2.0	1
ENSG00000006747	155	ENSG00000006747	7	12570577.0	8.4109e-07	4.735299999999999e-22	1.162	-2.3641	-1.3924	0.0	0.0	0.0	10	0.0	0
ENSG00000006756	156	ENSG00000006756	X	2903972.0						0.0	0.0	0.0	3	0.0	0
ENSG00000006757	157	ENSG00000006757	X	7898247.0						0.0	0.0	0.0	1	0.0	0
ENSG00000006788	158	ENSG00000006788	17	10300865.0	2.0045e-06	1.1171e-43	0.859	1.6769	1.0483	0.0	0.0	0.0	3	0.0	0
ENSG00000006831	159	ENSG00000006831	12	1688574.0	7.7259e-07	0.17629	0.636	3.5224	0.43622	0.0	0.0	0.0	3	0.0	0
ENSG00000006837	160	ENSG00000006837	5	134286350.0	5.4867e-07	1.0479e-12	1.523	0.24594	0.67088	0.0	0.0	0.0	6	0.0	0
ENSG00000007001	161	ENSG00000007001	2	157876702.0	5.0005e-07	2.1521e-05	1.098	0.41468	1.0463	0.0	0.0	0.0	8	0.0	0
ENSG00000007038	162	ENSG00000007038	16	2817180.0	4.8026e-07	1.8696e-18	1.86	-1.2428	-1.1868	0.0	0.0	0.0	10	0.0	0
ENSG00000007047	163	ENSG00000007047	19	45079288.0	1.2884e-06	1.0	0.361	2.9454	-0.42945	0.0	0.0	0.0	8	0.0	0
ENSG00000007062	164	ENSG00000007062	4	15963076.0	1.1685e-06	1.2262e-27	1.104	-1.0319	-0.4846	1.0	0.0	0.0	7	1.0	1
ENSG00000007080	165	ENSG00000007080	19	17933015.0	1.8684e-07	0.020176	0.991	0.18977	-0.39515	0.0	0.0	0.0	7	0.0	0
ENSG00000007129	166	ENSG00000007129	19	41549518.0	6.0343e-07	1.6293e-14	1.429	-0.11829	-0.36172	0.0	0.0	0.0	8	0.0	0
ENSG00000007168	167	ENSG00000007168	17	2593210.0	7.2258e-07	1.0	0.1	3.7117	0.64085	1.0	0.0	0.0	6	1.0	1
ENSG00000007171	168	ENSG00000007171	17	27756766.0	1.052e-06	2.0617999999999999e-22	0.858	2.1743	0.86509	0.0	1.0	0.0	7	1.0	-1
ENSG00000007174	169	ENSG00000007174	17	11598470.0	2.6641e-06	6.7994e-74	0.775	1.7474	1.198	1.0	0.0	0.0	4	1.0	1
ENSG00000007202	170	ENSG00000007202	17	28614446.0	1.9033e-06	1.1428e-11	0.56	3.5751	0.23762	0.0	0.0	0.0	3	0.0	0
ENSG00000007216	171	ENSG00000007216	17	28473293.0	9.7208e-07	3.1673e-09	0.86	1.4669	0.11542	0.0	0.0	0.0	10	0.0	0
ENSG00000007237	172	ENSG00000007237	17	9910606.0	6.4989e-07	0.024133	0.674	2.4181	-0.061855	0.0	0.0	0.0	2	0.0	0
ENSG00000007255	173	ENSG00000007255	19	45162928.0	1.9961e-07	1.4337e-11	1.877	-0.37874	-0.40438	0.0	0.0	0.0	1	0.0	0
ENSG00000007264	174	ENSG00000007264	19	3777970.0	1.1003e-06	2.2792e-10	0.921	1.4406	-0.26126	0.0	0.0	0.0	7	0.0	0
ENSG00000007306	175	ENSG00000007306	19	41673303.0	4.7512e-07	2.2205e-08	1.373	0.26438	-0.45351	0.0	0.0	0.0	10	0.0	0
ENSG00000007312	176	ENSG00000007312	17	63928738.0	5.2136e-07	0.99818	0.421	1.9247	0.32063	1.0	0.0	0.0	6	1.0	1
ENSG00000007314	177	ENSG00000007314	17	63938554.0	1.9013e-06	2.0645e-10	0.628	2.2392	0.96508	1.0	0.0	0.0	7	1.0	1
ENSG00000007341	178	ENSG00000007341	1	112523514.0	6.4389e-07	2.3909e-10	0.962	1.7886	0.81116	0.0	0.0	0.0	8	0.0	0
ENSG00000007350	179	ENSG00000007350	X	154295795.0						0.0	0.0	0.0	9	0.0	0
ENSG00000007372	180	ENSG00000007372	11	31784779.0	1.1577e-06	1.0	0.226	3.2634	0.15537	1.0	0.0	0.0	8	1.0	1
ENSG00000007376	181	ENSG00000007376	16	784974.0	2.8865e-07	7.9311e-13	1.859	-3.0552	-4.2742	0.0	0.0	0.0	7	0.0	0
ENSG00000007384	182	ENSG00000007384	16	58059.0	1.4011e-06	4.855e-23	1.022	0.81469	-0.69423	0.0	0.0	0.0	4	0.0	0
ENSG00000007392	183	ENSG00000007392	16	188969.0	8.4811e-07	1.3897e-05	0.821	1.7311	0.14107	0.0	0.0	0.0	9	0.0	0
