HGNC_ID	FUSIL	pLI_gnomAD	oe_lof	oe_lof_lower	oe_lof_upper	oe_mis	oe_mis_lower	oe_mis_upper	oe_syn	oe_syn_lower	oe_syn_upper	shet	RVIS	DDD_HI_percentage
HGNC:10663	DL	0.000188	0.295	0.208	0.425	0.854	0.791	0.922	1.09	0.968	1.22	0.036072716	-1.634420494	21.98
HGNC:10664	SV	1.65e-06	0.558	0.362	0.887	0.85	0.753	0.959	0.787	0.637	0.977	0.008040219	-0.389818464	17.87
HGNC:10666	VP	8.23e-05	0.556	0.334	0.969	0.745	0.65	0.856	0.97	0.812	1.16	0.007931314	0.071821427	38.53
HGNC:10672	DL	0.127	0.369	0.15	1.15	1.06	0.891	1.27	0.966	0.725	1.3	0.020694057	0.119321739	2.08
HGNC:10676	VP	0.164	0.326	0.132	1.03	0.625	0.517	0.759	0.833	0.654	1.07	-	0.505662737	60.98
HGNC:10680	DL	2.08e-10	0.608	0.43	0.875	0.874	0.799	0.956	1.14	1.01	1.29	0.004004549	-0.918313086	49.09
HGNC:10681	CL	0.000335	0.455	0.273	0.793	0.995	0.872	1.14	0.98	0.783	1.24	0.020158134	0.141780127	11.22
HGNC:10682	CL	0.000208	0.669	0.379	1.26	0.764	0.633	0.928	1.01	0.779	1.34	0.01441718	-0.033162513	47.07
HGNC:10703	VP	2.1e-07	0.383	0.273	0.548	0.941	0.877	1.01	1.03	0.92	1.15	0.018455643	-0.765744166	28.45
HGNC:10706	DL	6.43e-08	0.422	0.298	0.607	0.822	0.76	0.888	0.933	0.828	1.05	0.017397799	0.804765926	50.16
HGNC:1071	DL	0.956	0.0709	0.024	0.336	0.823	0.734	0.923	0.972	0.824	1.15	0.226195548	0.055869589	0.22
HGNC:10717	DL	0.997	0.146	0.082	0.274	0.654	0.593	0.722	0.965	0.844	1.11	0.026073899	-0.839614506	18.54
HGNC:10720	VP	4.11e-07	0.65	0.422	1.03	0.888	0.782	1.01	0.918	0.745	1.14	-	-0.020595905	62.55
HGNC:10728	SV	1	0.105	0.054	0.22	0.705	0.648	0.768	0.95	0.848	1.07	0.158579612	-0.590872809	14.85
HGNC:10732	VP	0.981	0.156	0.084	0.308	0.869	0.804	0.939	0.953	0.853	1.07	0.197953058	-0.344010693	74.47
HGNC:10738	SV	1	0.0746	0.033	0.193	0.908	0.845	0.976	1.09	0.987	1.21	0.195125827	-2.036481738	6.35
HGNC:10750	SV	0.206	0.251	0.13	0.528	0.518	0.443	0.607	0.969	0.806	1.17	0.013789495	-0.335456433	29.47
HGNC:10752	VP	0.00178	0.672	0.35	1.4	1.1	0.886	1.37	0.986	0.709	1.4	0.006989262	0.415916747	70.91
HGNC:10761	CL	1	0.0971	0.052	0.192	0.578	0.533	0.626	1.02	0.919	1.12	0.113291044	-1.333940867	21.29
HGNC:10762	VP	0.000103	0.629	0.368	1.13	0.948	0.868	1.04	0.947	0.822	1.09	0.004279339	0.21254145	87.55
HGNC:10763	VP	0.446	0.222	0.136	0.377	0.825	0.765	0.889	1	0.907	1.11	0.048556124	0.569393991	66.63
HGNC:10782	CL	0.998	0.0733	0.029	0.231	0.574	0.503	0.655	0.962	0.813	1.14	0.11253004	-1.013860806	11.85
HGNC:10784	VP	1	0.1	0.054	0.197	0.931	0.874	0.992	1.03	0.934	1.14	0.096546613	-0.843663164	49.39
HGNC:10786	SV	0.735	0.183	0.089	0.419	0.624	0.556	0.701	1.08	0.931	1.26	0.195775649	0.031540292	20.06
HGNC:10789	CL	0.984	0.0938	0.037	0.295	0.375	0.301	0.47	1.24	1.01	1.54	0.187066388	-0.198214074	9.75
HGNC:10817	DL	0.00209	0.344	0.211	0.583	0.711	0.637	0.794	0.961	0.823	1.13	0.027456038	-0.347573057	25.82
HGNC:10818	VP	0.000126	0.463	0.285	0.786	0.984	0.899	1.08	1.09	0.956	1.24	0.009501171	1.435611292	69.12
HGNC:10819	VP	0.937	0.114	0.046	0.36	0.614	0.531	0.712	1.02	0.867	1.21	0.116118337	-0.644618872	61.6
HGNC:1082	DL	5.63e-06	0.702	0.432	1.19	0.876	0.758	1.02	1.34	1.11	1.63	0.008032278	-0.161672184	47.96
HGNC:10825	VP	9.73e-11	0.744	0.518	1.09	0.936	0.855	1.02	1.13	1	1.28	0.022267665	0.090539186	63.94
HGNC:10826	VP	0.00175	0.35	0.215	0.593	0.932	0.867	1	1.07	0.972	1.18	0.030141107	-0.267188164	59.1
HGNC:1083	VP	6.54e-05	0.503	0.31	0.854	1.04	0.935	1.16	1.34	1.15	1.57	0.012706572	-0.432419126	15.2
HGNC:10831	VP	0.000145	0.456	0.28	0.773	0.792	0.692	0.907	1.29	1.08	1.54	0.037901873	-0.693277856	6.19
HGNC:10848	DL	0.985	0	0	0.236	0.447	0.38	0.526	1.11	0.953	1.29	0.267793172	-0.325209549	0.66
HGNC:10850	VN	8.65e-14	0.935	0.662	1.35	0.926	0.836	1.03	1.08	0.929	1.25	0.006382826	-0.424750406	36.52
HGNC:10861	VP	0.00717	0.365	0.207	0.686	0.953	0.869	1.05	0.992	0.864	1.14	0.014807391	0.113709147	69.26
HGNC:1087	VP	0.161	0.329	0.134	1.04	0.97	0.83	1.14	1.03	0.827	1.28	-	0.115133058	57.01
HGNC:10880	VP	1.03e-17	0.949	0.698	1.31	0.871	0.794	0.955	1.01	0.879	1.15	-	0.020581051	43.54
HGNC:10885	VN	0.0132	0.294	0.18	0.499	0.705	0.65	0.764	0.843	0.756	0.941	0.027750612	0.336954818	66.27
HGNC:10886	VP	1.8e-08	0.646	0.437	0.982	0.849	0.756	0.955	0.883	0.74	1.06	0.010176104	0.325099704	6.08
HGNC:10894	CL	1	0.0272	0.009	0.129	0.548	0.489	0.615	0.871	0.75	1.02	0.08623145	-0.948794255	4.36
HGNC:10898	DL	3.9e-22	0.685	0.537	0.881	0.803	0.751	0.859	0.802	0.719	0.894	0.006843665	-1.340381556	38.12
HGNC:1090	SV	1	0.126	0.096	0.168	0.852	0.822	0.883	0.969	0.917	1.02	0.057252482	-4.463388757	5.62
HGNC:10909	DL	0.99	0.111	0.049	0.287	0.676	0.603	0.757	0.853	0.725	1.01	0.102011689	0.121283322	42.81
HGNC:10924	VP	0.000342	0.609	0.346	1.14	1.01	0.921	1.11	1.4	1.25	1.57	0.089008536	-0.4604875	58.46
HGNC:10925	VP	9.87e-08	0.674	0.444	1.05	0.846	0.756	0.947	0.922	0.772	1.11	0.011174141	0.09846884	59.99
HGNC:10927	VN	0.00234	0.432	0.245	0.812	0.702	0.626	0.787	1.04	0.898	1.21	0.037742649	-0.149460517	69.36
HGNC:10931	VN	8.45e-21	1.05	0.784	1.42	1.04	0.942	1.15	0.986	0.834	1.17	0.003216979	0.395861586	89.52
HGNC:10939	VP	9.77e-06	0.509	0.325	0.825	1.2	1.1	1.31	1.36	1.19	1.56	0.013163683	-0.920986168	31.18
HGNC:10941	VN	0.985	0.0927	0.037	0.292	0.705	0.63	0.788	0.974	0.836	1.14	0.04135238	-0.498543344	9.47
HGNC:10942	VN	0.0642	0.306	0.159	0.642	0.705	0.63	0.79	0.928	0.802	1.08	0.035062259	0.05435475	39.21
HGNC:1095	VP	1.95e-14	0.879	0.631	1.25	1.12	1.02	1.23	1.06	0.918	1.23	0.002618444	1.562276067	93.63
HGNC:10962	VP	8.96e-06	0.436	0.287	0.681	0.869	0.797	0.947	1	0.888	1.13	0.02031488	-0.241786219	60.24
HGNC:10968	VP	1.27e-08	0.667	0.45	1.01	0.834	0.752	0.925	1.11	0.969	1.28	0.003515285	-0.570017758	44.36
HGNC:10969	DL	1.53e-15	0.923	0.668	1.3	1.03	0.942	1.13	1.07	0.935	1.23	0.004244903	0.668931098	41.09
HGNC:10972	VP	2.18e-09	0.765	0.517	1.16	0.854	0.773	0.944	0.937	0.81	1.09	0.006981423	0.063891472	68.77
HGNC:10978	SV	3.24e-10	0.588	0.416	0.847	0.879	0.803	0.962	1	0.881	1.14	0.013474638	0.369662176	48.1
HGNC:10979	DL	0.0588	0.31	0.161	0.652	0.729	0.63	0.847	1.11	0.924	1.34	0.057470124	-0.322534647	46.07
HGNC:10985	DL	5.19e-07	0.809	0.508	1.34	0.958	0.841	1.09	1.06	0.876	1.3	0.024437134	0.358163479	57.27
HGNC:10989	CL	0.0919	0.287	0.149	0.604	0.743	0.651	0.849	0.945	0.779	1.15	0.037599285	-0.744612518	13.16
HGNC:10990	VP	0.491	0.196	0.079	0.616	0.598	0.508	0.704	1.03	0.852	1.25	0.072262518	-0.365135398	25.81
HGNC:11003	VP	0.905	0.145	0.065	0.374	0.882	0.79	0.984	0.91	0.77	1.08	0.105167771	-0.692117176	50.62
HGNC:11006	DL	3.34e-08	0.611	0.413	0.928	0.823	0.737	0.918	0.977	0.827	1.16	0.015403082	-0.319054768	16.62
HGNC:11010	VP	3.84e-10	0.792	0.541	1.19	0.756	0.677	0.844	0.837	0.718	0.977	0.002328702	0.123957229	75.26
HGNC:11025	VP	9.5e-26	1.19	0.909	1.58	1.43	1.34	1.54	1.24	1.1	1.4	0.002883573	-0.356575473	61.26
HGNC:1103	DL	1	0.0841	0.037	0.217	0.935	0.862	1.01	1.44	1.3	1.61	0.207016221	-1.115649786	1.63
HGNC:11040	VP	0.0029	0.334	0.205	0.566	0.872	0.797	0.955	1.1	0.981	1.24	0.015002027	-1.106192735	31.16
HGNC:11041	DL	0.00581	0.314	0.193	0.533	0.773	0.701	0.852	0.987	0.864	1.13	0.035568982	-0.486332316	68.45
HGNC:11048	SV	0.0654	0.27	0.157	0.487	0.706	0.636	0.783	1.17	1.04	1.32	0.046207343	-0.425106351	18.46
HGNC:11049	VN	0.999	0.0933	0.042	0.241	0.653	0.588	0.725	1.16	1.03	1.3	0.069467791	-0.773840993	18.93
HGNC:1105	VP	4.96e-09	0.465	0.331	0.663	0.939	0.867	1.02	1.03	0.903	1.17	0.01066522	0.608510753	45.89
HGNC:11051	DL	-	-	-	-	-	-	-	-	-	-	-	-	16.26
HGNC:11059	VP	5.77e-05	0.46	0.289	0.762	0.856	0.77	0.953	1.01	0.866	1.19	0.018937522	-0.416017158	29.57
HGNC:11065	SV	7.72e-07	0.607	0.394	0.965	0.906	0.817	1.01	1.04	0.89	1.21	0.002559726	-0.316380604	26.7
HGNC:11066	VN	4.35e-08	0.658	0.439	1.01	0.97	0.881	1.07	0.957	0.826	1.11	0.016255848	-0.275295857	29.21
HGNC:11070	VP	0.000807	0.356	0.223	0.589	0.947	0.879	1.02	1.03	0.917	1.15	0.053674913	-1.031963999	14.66
HGNC:11077	VP	1.09e-13	0.775	0.56	1.09	1.08	1	1.16	1.06	0.944	1.2	0.003927476	-0.117018239	49.73
HGNC:11085	VN	-	-	-	-	-	-	-	-	-	-	-	-	25.97
HGNC:11094	SV	0.81	0.102	0.035	0.485	0.704	0.597	0.831	1.09	0.885	1.35	0.268392189	-0.179942979	5.15
HGNC:11102	VP	2.29e-06	0.408	0.278	0.611	0.874	0.809	0.945	1.01	0.903	1.13	0.007272328	-0.025759337	60.75
HGNC:11103	CL	0.997	0.0463	0.015	0.22	0.319	0.263	0.389	1.05	0.894	1.25	0.250607684	-0.417983019	8.07
HGNC:11107	SV	0.000267	0.371	0.236	0.6	0.645	0.57	0.729	0.921	0.781	1.09	0.08975973	-0.795947508	20.38
HGNC:11108	DL	0.407	0.222	0.115	0.467	0.54	0.469	0.623	1.05	0.9	1.24	0.040850932	-0.647647298	7.16
HGNC:11119	DL	-	-	-	-	-	-	-	-	-	-	-	-	2.16
HGNC:1112	CL	4.92e-05	0.382	0.251	0.597	0.84	0.768	0.917	0.874	0.761	1	0.016530078	-0.123168497	45.93
HGNC:11127	VP	2.98e-45	1	0.825	1.23	1.02	0.967	1.07	0.981	0.906	1.06	-	0.111423835	79.23
HGNC:11131	CL	0.932	0.0777	0.027	0.369	0.769	0.645	0.919	0.784	0.586	1.06	0.101458182	0.115133058	7.81
HGNC:11133	DL	0.0621	0.336	0.165	0.769	1.17	1.03	1.33	0.762	0.593	0.989	0.051044999	0.1189655	61.36
HGNC:11134	CL	1.9e-15	1.05	0.751	1.5	0.998	0.882	1.13	1.08	0.882	1.32	0.007237468	-0.137698014	41.64
HGNC:11135	CL	0.0969	0.34	0.154	0.878	1.28	1.15	1.42	1.26	1.08	1.47	0.015870218	-0.076828307	86.84
HGNC:11137	CL	3.75e-29	0.772	0.618	0.971	1.08	1.03	1.15	1.28	1.18	1.38	0.007459123	2.010139244	89.89
HGNC:11138	VP	0.896	0	0	0.412	0.832	0.676	1.03	1.28	0.959	1.71	0.228405966	-0.034321881	21.1
HGNC:11140	VP	0.0587	0.401	0.182	1.04	0.686	0.544	0.87	1.08	0.81	1.46	0.032628329	-0.202403282	39.97
HGNC:11142	VP	0.984	0.133	0.065	0.304	0.774	0.708	0.847	0.984	0.879	1.1	0.160599997	0.370017256	67.79
HGNC:11148	SV	0.826	0.138	0.056	0.435	0.679	0.607	0.76	1.02	0.888	1.16	0.305002396	-0.626700504	21.98
HGNC:11174	DL	0.627	0.137	0.048	0.648	0.492	0.386	0.633	1.24	0.973	1.6	0.027303542	-0.173884819	10.72
HGNC:11185	VP	1.13e-09	0.326	0.252	0.424	0.832	0.79	0.875	0.954	0.884	1.03	0.02650233	-0.145644704	37.18
HGNC:11186	SV	1	0.0921	0.044	0.211	0.695	0.63	0.768	0.882	0.767	1.02	0.239163744	0.236159202	14.9
HGNC:11194	VP	0.152	0.339	0.137	1.06	0.761	0.646	0.9	0.961	0.776	1.2	-	-	44.13
HGNC:11214	VP	2.79e-07	0.607	0.4	0.949	0.802	0.713	0.903	0.948	0.804	1.12	0.001667407	0.063088061	45.46
HGNC:11219	VP	0.883	0.127	0.051	0.401	0.758	0.658	0.873	0.997	0.826	1.21	0.317197823	0.174487103	4.05
HGNC:1123	VP	0.894	0	0	0.416	0.49	0.406	0.594	0.863	0.696	1.08	0.275580765	-0.184132086	11.54
HGNC:11233	VP	1	0.085	0.038	0.22	0.799	0.723	0.882	1.25	1.09	1.42	0.077111111	-0.512980245	9.51
HGNC:11241	DL	0.983	0	0	0.243	0.474	0.392	0.576	1.03	0.854	1.25	0.243613353	-0.322180894	18.35
HGNC:11243	DL	-	-	-	-	-	-	-	-	-	-	-	-	27.68
HGNC:11245	VP	0.307	0.251	0.088	1.17	0.642	0.469	0.89	0.83	0.54	1.32	0.183883781	-	92.43
HGNC:11250	VP	1.32e-08	0.73	0.487	1.12	0.794	0.697	0.904	1.1	0.917	1.33	0.009008595	0.091606196	22.2
HGNC:11254	DL	0.999	0	0	0.141	0.211	0.166	0.27	1.08	0.909	1.29	0.23577775	-0.548816033	4.35
HGNC:11259	VP	0.00617	1.05	0.445	1.87	1.27	1.03	1.58	1.1	0.764	1.6	0.007132984	0.056937276	62.76
HGNC:11268	VP	-	-	-	-	0.933	0.777	1.13	0.85	0.622	1.18	0.004079783	0.368770721	94.98
HGNC:11275	DL	1	0.0337	0.016	0.077	0.654	0.619	0.69	1.18	1.1	1.25	0.174389338	-4.947458485	2.63
HGNC:11276	VP	3.02e-05	0.275	0.208	0.366	0.805	0.766	0.844	1.06	0.991	1.13	0.058992589	-2.437026903	29.09
HGNC:11279	DL	0.97	0.125	0.056	0.324	0.798	0.714	0.892	0.958	0.814	1.13	0.076853353	0.195430522	42.86
HGNC:11280	VP	0.01	0.383	0.209	0.756	1.14	1.04	1.26	1.24	1.08	1.43	0.018087678	0.555210213	30.77
HGNC:11281	VP	-	-	-	-	-	-	-	-	-	-	-	-	39.14
HGNC:11283	SV	0.997	0.0786	0.031	0.247	0.393	0.338	0.456	0.896	0.776	1.04	0.136802751	-0.916891953	0.2
HGNC:11304	CL	0.434	0.188	0.066	0.892	0.534	0.388	0.746	0.956	0.639	1.47	0.043676975	0.00863365	21.62
HGNC:1131	VP	0.0161	0.659	0.297	1.6	0.793	0.653	0.967	1.2	0.943	1.53	0.010112601	-0.19251039	33.12
HGNC:11312	VN	2.88e-09	0.75	0.507	1.14	1.05	0.948	1.16	1.34	1.16	1.55	0.017602345	0.008370221	75.41
HGNC:11317	DL	0.00402	0.452	0.246	0.892	0.651	0.524	0.815	1.11	0.826	1.5	0.036320903	0.31895213	18.91
HGNC:11322	VP	0.0394	0.462	0.209	1.19	0.717	0.602	0.856	0.753	0.589	0.971	0.214779158	0.603785456	50.72
HGNC:11324	DL	0.173	0.284	0.128	0.734	0.736	0.611	0.889	0.812	0.619	1.08	0.098744347	-0.171210196	24.5
HGNC:11329	VP	0.36	0.219	0.077	1.04	0.723	0.567	0.93	0.715	0.502	1.04	0.180768319	0.33339061	0.7
HGNC:11344	DL	0.568	0.215	0.129	0.375	0.847	0.784	0.916	0.972	0.873	1.08	0.048345187	0.730966732	62.79
HGNC:11346	VP	3.8e-07	0.975	0.599	1.62	0.892	0.755	1.06	0.883	0.681	1.16	0.00970047	0.039470282	85.54
HGNC:11356	VP	3.17e-12	0.446	0.335	0.599	0.817	0.762	0.876	0.915	0.825	1.02	0.014215382	-0.860045231	67.81
HGNC:11362	VP	1	0.0796	0.038	0.182	0.276	0.236	0.322	1	0.881	1.15	0.425968439	-0.734719109	1.02
HGNC:1137	VP	9.29e-12	0.847	0.59	1.24	1	0.911	1.1	0.95	0.814	1.11	0.002906223	1.139335199	88.35
HGNC:11371	VP	0.976	0.138	0.067	0.315	0.774	0.694	0.864	0.955	0.81	1.13	0.058612729	-0.808869674	12.01
HGNC:11393	CL	0.864	0.153	0.069	0.394	0.662	0.575	0.762	1.17	0.986	1.4	0.117463447	-0.33278172	37.7
HGNC:11394	VP	0.00011	0.532	0.32	0.928	0.788	0.688	0.904	0.728	0.583	0.915	0.007497831	0.073336314	16.58
HGNC:11406	VP	-	-	-	-	-	-	-	-	-	-	-	-	4.75
HGNC:11431	VP	0.511	0.208	0.101	0.476	0.8	0.702	0.912	0.911	0.748	1.12	0.036193665	0.094635983	27.86
HGNC:11438	DL	0.0292	0.323	0.176	0.638	1	0.886	1.14	0.998	0.816	1.23	0.035689366	0.369570916	33.09
HGNC:1144	VP	0.0123	0.281	0.179	0.456	0.617	0.55	0.692	0.938	0.805	1.1	0.078644329	-0.193574748	1.05
HGNC:11440	CL	0.827	0.159	0.071	0.411	0.899	0.797	1.02	1.07	0.897	1.28	0.026194219	0.026192365	17.5
HGNC:11442	VP	5.72e-06	0.61	0.383	1.01	0.817	0.699	0.957	1.04	0.822	1.33	0.018738997	-0.309612877	21.5
HGNC:11443	VP	1.59e-08	0.791	0.522	1.24	1.11	0.966	1.27	0.815	0.626	1.07	0.009503011	1.036575134	14.22
HGNC:11444	DL	1	0	0	0.084	0.349	0.3	0.406	0.907	0.782	1.06	0.18615445	-0.733204788	21.32
HGNC:11449	DL	0.00058	0.474	0.277	0.855	1.02	0.905	1.15	1.02	0.845	1.25	0.017400562	0.014785108	4.91
HGNC:11466	DL	2.9e-10	0.806	0.551	1.21	0.975	0.859	1.11	0.943	0.757	1.18	0.001287986	0.036084783	4.33
HGNC:11467	DL	0.000617	0.668	0.365	1.32	0.603	0.469	0.783	0.666	0.459	0.987	0.043271512	-0.105440481	5.82
HGNC:11469	CL	1	0.0161	0.005	0.076	0.513	0.469	0.561	1.01	0.914	1.12	0.297409467	-2.682900632	33.75
HGNC:11471	CL	0.0264	0.278	0.171	0.472	0.833	0.763	0.909	1.02	0.897	1.17	0.024166718	-0.963945986	35.86
HGNC:11477	CL	9.96e-05	0.632	0.37	1.14	0.894	0.764	1.05	1.02	0.832	1.26	0.009130214	0.177517156	32.56
HGNC:11491	DL	1	0.0587	0.023	0.185	0.583	0.521	0.653	0.912	0.792	1.05	0.364428539	-0.668141804	21.47
HGNC:11496	VP	0.0018	0.349	0.214	0.591	0.84	0.762	0.927	0.796	0.682	0.931	0.014847048	0.081002295	25.03
HGNC:11503	DL	0.891	0.207	0.141	0.311	0.773	0.724	0.825	0.947	0.859	1.04	0.034977019	-0.180830787	41.69
HGNC:11504	VP	6.54e-14	0.521	0.392	0.7	0.922	0.87	0.977	1	0.918	1.09	0.007738071	-0.511235981	63.42
HGNC:11507	VP	0.0482	0.357	0.175	0.818	0.874	0.752	1.02	0.939	0.742	1.2	0.036498775	0.25318035	68.81
HGNC:11509	SV	0.604	0.198	0.096	0.452	0.463	0.395	0.544	0.964	0.811	1.15	0.065797696	-0.549168789	3.9
HGNC:11514	VP	0.95	0.11	0.044	0.346	0.64	0.567	0.724	1.01	0.877	1.17	0.106474501	-0.698981692	29.84
