chrom	chromStart	chromEnd	ENSG_ID	geneName	pLI	zscore_mis	zscore_syn	loeuf	missense	synonymous
chr1	1242452	1246722	ENSG00000184163	FAM132A	0.0	-0.25	0.22	1.64	Missense exp: 168.0, obs: 177, Z = -0.25, o/e = 1.05 (0.93 - 1.19)	Synonymous exp: 79.5, obs: 77, Z = 0.22, o/e = 0.97 (0.80 - 1.17)
chr1	1255177	1273833	ENSG00000160087	UBE2J2	0.91	1.79	-0.21	0.39	Missense exp: 164.7, obs: 100, Z = 1.79, o/e = 0.61 (0.52 - 0.72)	Synonymous exp: 74.7, obs: 77, Z = -0.21, o/e = 1.03 (0.86 - 1.25)
chr1	1280435	1292025	ENSG00000162572	SCNN1D	0.0	-0.78	-3.99	1.59	Missense exp: 477.9, obs: 526, Z = -0.78, o/e = 1.10 (1.02 - 1.18)	Synonymous exp: 223.2, obs: 299, Z = -3.99, o/e = 1.34 (1.22 - 1.48)
chr1	1292390	1307930	ENSG00000131584	ACAP3	0.0	1.67	-1.4	0.59	Missense exp: 516.9, obs: 410, Z = 1.67, o/e = 0.79 (0.73 - 0.86)	Synonymous exp: 227.2, obs: 254, Z = -1.40, o/e = 1.12 (1.01 - 1.24)
chr1	1308596	1311677	ENSG00000169972	PUSL1	0.0	-1.44	-3.61	1.98	Missense exp: 164.8, obs: 217, Z = -1.44, o/e = 1.32 (1.18 - 1.47)	Synonymous exp: 73.6, obs: 113, Z = -3.61, o/e = 1.54 (1.32 - 1.79)
chr1	1311584	1324687	ENSG00000127054	CPSF3L	0.0	0.54	-4.01	0.99	Missense exp: 387.1, obs: 357, Z = 0.54, o/e = 0.92 (0.84 - 1.01)	Synonymous exp: 162.9, obs: 228, Z = -4.01, o/e = 1.40 (1.25 - 1.56)
chr1	1324801	1328896	ENSG00000224051	GLTPD1	0.02	-0.09	-1.01	1.43	Missense exp: 154.7, obs: 158, Z = -0.09, o/e = 1.02 (0.90 - 1.17)	Synonymous exp: 76.7, obs: 88, Z = -1.01, o/e = 1.15 (0.96 - 1.37)
chr1	1331279	1335314	ENSG00000169962	TAS1R3	0.0	-2.38	-5.24	1.56	Missense exp: 571.8, obs: 732, Z = -2.38, o/e = 1.28 (1.20 - 1.36)	Synonymous exp: 276.1, obs: 387, Z = -5.24, o/e = 1.40 (1.29 - 1.52)
chr1	1335275	1349112	ENSG00000107404	DVL1	0.0	-1.13	-4.97	0.73	Missense exp: 484.2, obs: 554, Z = -1.13, o/e = 1.14 (1.07 - 1.23)	Synonymous exp: 203.7, obs: 294, Z = -4.97, o/e = 1.44 (1.31 - 1.59)
chr1	1352690	1358555	ENSG00000162576	MXRA8	0.0	1.05	-1.51	1.13	Missense exp: 255.3, obs: 208, Z = 1.05, o/e = 0.81 (0.73 - 0.91)	Synonymous exp: 121.8, obs: 143, Z = -1.51, o/e = 1.17 (1.02 - 1.35)
chr1	1373729	1375157	ENSG00000175756	AURKAIP1	0.0	-0.03	-1.48	1.77	Missense exp: 125.1, obs: 126, Z = -0.03, o/e = 1.01 (0.87 - 1.17)	Synonymous exp: 56.8, obs: 71, Z = -1.48, o/e = 1.25 (1.03 - 1.52)
chr1	1385710	1399335	ENSG00000221978	CCNL2	0.16	0.54	-1.2	0.47	Missense exp: 339.9, obs: 312, Z = 0.54, o/e = 0.92 (0.84 - 1.01)	Synonymous exp: 134.3, obs: 152, Z = -1.20, o/e = 1.13 (0.99 - 1.29)
chr1	1399518	1402046	ENSG00000224870	RP4-758J18.2	0.01	-0.1	-0.24	1.7	Missense exp: 78.5, obs: 81, Z = -0.10, o/e = 1.03 (0.86 - 1.24)	Synonymous exp: 34.2, obs: 36, Z = -0.24, o/e = 1.05 (0.81 - 1.39)
chr1	1401908	1407293	ENSG00000242485	MRPL20	0.0	-0.83	-2.27	1.82	Missense exp: 83.7, obs: 105, Z = -0.83, o/e = 1.25 (1.07 - 1.48)	Synonymous exp: 34.1, obs: 51, Z = -2.27, o/e = 1.49 (1.19 - 1.85)
chr1	1418419	1421276	ENSG00000235098	ANKRD65	0.0	0.59	-0.04	1.96	Missense exp: 136.4, obs: 117, Z = 0.59, o/e = 0.86 (0.74 - 1.00)	Synonymous exp: 64.6, obs: 65, Z = -0.04, o/e = 1.01 (0.82 - 1.24)
chr1	1425870	1430255	ENSG00000205116	TMEM88B	0.43	-0.6	-0.42	1.6	Missense exp: 32.4, obs: 42, Z = -0.60, o/e = 1.30 (1.01 - 1.67)	Synonymous exp: 20.6, obs: 23, Z = -0.42, o/e = 1.12 (0.80 - 1.58)
chr1	1435689	1442882	ENSG00000179403	VWA1	0.01	-0.15	0.32	1.07	Missense exp: 212.8, obs: 219, Z = -0.15, o/e = 1.03 (0.92 - 1.15)	Synonymous exp: 104.2, obs: 100, Z = 0.32, o/e = 0.96 (0.82 - 1.13)
chr1	1449688	1470163	ENSG00000215915	ATAD3C	0.0	-0.82	-1.4	1.17	Missense exp: 264.6, obs: 302, Z = -0.82, o/e = 1.14 (1.04 - 1.25)	Synonymous exp: 115.8, obs: 135, Z = -1.40, o/e = 1.17 (1.01 - 1.34)
chr1	1471783	1496201	ENSG00000160072	ATAD3B	0.0	-2.79	-3.46	1.48	Missense exp: 399.9, obs: 557, Z = -2.79, o/e = 1.39 (1.30 - 1.49)	Synonymous exp: 174.8, obs: 233, Z = -3.46, o/e = 1.33 (1.20 - 1.49)
chr1	1512174	1534685	ENSG00000197785	ATAD3A	0.0	0.01	-0.99	0.83	Missense exp: 401.7, obs: 401, Z = 0.01, o/e = 1.00 (0.92 - 1.08)	Synonymous exp: 171.5, obs: 188, Z = -0.99, o/e = 1.10 (0.97 - 1.24)
chr1	1534777	1540624	ENSG00000205090	TMEM240	0.23	1.55	-0.55	0.87	Missense exp: 107.0, obs: 62, Z = 1.55, o/e = 0.58 (0.47 - 0.72)	Synonymous exp: 51.0, obs: 56, Z = -0.55, o/e = 1.10 (0.89 - 1.37)
chr1	1541672	1574863	ENSG00000160075	SSU72	0.78	2.56	-0.45	0.51	Missense exp: 112.3, obs: 36, Z = 2.56, o/e = 0.32 (0.24 - 0.42)	Synonymous exp: 48.0, obs: 52, Z = -0.45, o/e = 1.08 (0.87 - 1.36)
chr1	1574974	1577075	ENSG00000215014	AL645728.1	-1.0	0.15	0.22	1.9	Missense exp: 59.3, obs: 56, Z = 0.15, o/e = 0.94 (0.76 - 1.18)	Synonymous exp: 28.5, obs: 27, Z = 0.22, o/e = 0.95 (0.70 - 1.31)
chr1	1598011	1600135	ENSG00000228594	C1orf233	0.12	1.43	-0.95	1.83	Missense exp: 54.9, obs: 25, Z = 1.43, o/e = 0.46 (0.33 - 0.64)	Synonymous exp: 24.9, obs: 31, Z = -0.95, o/e = 1.24 (0.93 - 1.67)
chr1	1615499	1630605	ENSG00000197530	MIB2	0.0	0.62	-3.36	0.62	Missense exp: 690.0, obs: 644, Z = 0.62, o/e = 0.93 (0.87 - 1.00)	Synonymous exp: 318.7, obs: 395, Z = -3.36, o/e = 1.24 (1.14 - 1.35)
chr1	1632172	1634654	ENSG00000189409	MMP23B	0.12	0.54	-0.38	1.83	Missense exp: 45.2, obs: 35, Z = 0.54, o/e = 0.77 (0.59 - 1.03)	Synonymous exp: 20.8, obs: 23, Z = -0.38, o/e = 1.11 (0.80 - 1.56)
chr1	1635586	1659012	ENSG00000248333	CDK11B	0.0	1.72	-3.78	0.68	Missense exp: 307.8, obs: 223, Z = 1.72, o/e = 0.72 (0.65 - 0.81)	Synonymous exp: 130.9, obs: 186, Z = -3.78, o/e = 1.42 (1.26 - 1.60)
chr1	1702378	1724357	ENSG00000008128	CDK11A	0.0	-0.83	-3.12	1.29	Missense exp: 298.8, obs: 339, Z = -0.83, o/e = 1.13 (1.04 - 1.24)	Synonymous exp: 119.6, obs: 163, Z = -3.12, o/e = 1.36 (1.20 - 1.55)
chr1	1785285	1891087	ENSG00000078369	GNB1	1.0	3.83	0.33	0.14	Missense exp: 226.2, obs: 64, Z = 3.83, o/e = 0.28 (0.23 - 0.35)	Synonymous exp: 90.0, obs: 86, Z = 0.33, o/e = 0.96 (0.80 - 1.14)
chr1	1915259	1917296	ENSG00000169885	CALML6	0.0	0.05	-0.03	1.76	Missense exp: 103.5, obs: 102, Z = 0.05, o/e = 0.99 (0.84 - 1.16)	Synonymous exp: 42.8, obs: 43, Z = -0.03, o/e = 1.01 (0.79 - 1.30)
chr1	1917590	1919279	ENSG00000178821	TMEM52	0.01	-0.38	-0.85	1.61	Missense exp: 103.0, obs: 114, Z = -0.38, o/e = 1.11 (0.95 - 1.29)	Synonymous exp: 44.8, obs: 52, Z = -0.85, o/e = 1.16 (0.93 - 1.46)
chr1	1921950	2003837	ENSG00000142609	C1orf222	0.0	1.16	1.41	0.79	Missense exp: 509.4, obs: 436, Z = 1.16, o/e = 0.86 (0.79 - 0.93)	Synonymous exp: 239.7, obs: 212, Z = 1.41, o/e = 0.88 (0.79 - 0.99)
chr1	2019344	2030758	ENSG00000187730	GABRD	0.99	2.17	-2.23	0.24	Missense exp: 293.5, obs: 189, Z = 2.17, o/e = 0.64 (0.57 - 0.73)	Synonymous exp: 138.6, obs: 172, Z = -2.23, o/e = 1.24 (1.09 - 1.41)
chr1	2050410	2185395	ENSG00000067606	PRKCZ	0.54	2.8	0.29	0.4	Missense exp: 377.3, obs: 224, Z = 2.80, o/e = 0.59 (0.53 - 0.66)	Synonymous exp: 164.8, obs: 160, Z = 0.29, o/e = 0.97 (0.85 - 1.11)
chr1	2189547	2194772	ENSG00000162585	C1orf86	0.53	0.2	-0.77	0.75	Missense exp: 107.8, obs: 102, Z = 0.20, o/e = 0.95 (0.81 - 1.12)	Synonymous exp: 52.0, obs: 59, Z = -0.77, o/e = 1.14 (0.92 - 1.41)
chr1	2228318	2310213	ENSG00000157933	SKI	1.0	1.51	-4.87	0.19	Missense exp: 438.2, obs: 349, Z = 1.51, o/e = 0.80 (0.73 - 0.87)	Synonymous exp: 210.1, obs: 300, Z = -4.87, o/e = 1.43 (1.30 - 1.57)
chr1	2321252	2391554	ENSG00000116151	MORN1	0.0	-0.28	-0.04	1.12	Missense exp: 294.2, obs: 308, Z = -0.28, o/e = 1.05 (0.95 - 1.15)	Synonymous exp: 128.5, obs: 129, Z = -0.04, o/e = 1.00 (0.87 - 1.16)
chr1	2391840	2405436	ENSG00000157916	RER1	0.38	2.13	-1.12	0.58	Missense exp: 120.7, obs: 55, Z = 2.13, o/e = 0.46 (0.37 - 0.57)	Synonymous exp: 49.9, obs: 60, Z = -1.12, o/e = 1.20 (0.98 - 1.49)
chr1	2403963	2412564	ENSG00000157911	PEX10	0.0	-0.29	0.01	0.86	Missense exp: 216.8, obs: 229, Z = -0.29, o/e = 1.06 (0.95 - 1.18)	Synonymous exp: 96.1, obs: 96, Z = 0.01, o/e = 1.00 (0.85 - 1.18)
chr1	2467458	2505526	ENSG00000149527	PLCH2	0.0	1.23	-1.5	0.96	Missense exp: 707.3, obs: 615, Z = 1.23, o/e = 0.87 (0.81 - 0.93)	Synonymous exp: 298.1, obs: 331, Z = -1.50, o/e = 1.11 (1.01 - 1.22)
chr1	2508536	2526596	ENSG00000157881	PANK4	0.98	2.42	-2.13	0.3	Missense exp: 516.5, obs: 362, Z = 2.42, o/e = 0.70 (0.64 - 0.76)	Synonymous exp: 238.1, obs: 280, Z = -2.13, o/e = 1.18 (1.07 - 1.30)
chr1	2528744	2530263	ENSG00000197921	HES5	0.25	-0.59	-0.55	1.34	Missense exp: 38.6, obs: 49, Z = -0.59, o/e = 1.27 (1.01 - 1.61)	Synonymous exp: 16.2, obs: 19, Z = -0.55, o/e = 1.17 (0.82 - 1.70)
chr1	2556370	2563829	ENSG00000157873	TNFRSF14	0.81	0.61	-1.23	0.44	Missense exp: 173.8, obs: 151, Z = 0.61, o/e = 0.87 (0.76 - 0.99)	Synonymous exp: 76.3, obs: 90, Z = -1.23, o/e = 1.18 (0.99 - 1.41)
chr1	2586776	2591468	ENSG00000157870	FAM213B	0.0	0.35	0.12	1.52	Missense exp: 107.3, obs: 97, Z = 0.35, o/e = 0.90 (0.77 - 1.07)	Synonymous exp: 51.1, obs: 50, Z = 0.12, o/e = 0.98 (0.78 - 1.24)
chr1	2590638	2633016	ENSG00000142606	MMEL1	0.0	0.13	0.1	1.0	Missense exp: 487.8, obs: 480, Z = 0.13, o/e = 0.98 (0.91 - 1.06)	Synonymous exp: 204.8, obs: 203, Z = 0.10, o/e = 0.99 (0.88 - 1.11)
chr1	2635975	2801717	ENSG00000215912	TTC34	0.0	0.27	1.29	1.65	Missense exp: 308.3, obs: 295, Z = 0.27, o/e = 0.96 (0.87 - 1.05)	Synonymous exp: 145.8, obs: 126, Z = 1.29, o/e = 0.86 (0.75 - 1.00)
chr1	3021466	3022903	ENSG00000169717	ACTRT2	0.0	-0.4	-1.12	1.38	Missense exp: 238.5, obs: 256, Z = -0.40, o/e = 1.07 (0.97 - 1.19)	Synonymous exp: 119.4, obs: 135, Z = -1.12, o/e = 1.13 (0.98 - 1.30)
chr1	3069202	3438621	ENSG00000142611	PRDM16	1.0	1.35	-1.64	0.19	Missense exp: 855.9, obs: 745, Z = 1.35, o/e = 0.87 (0.82 - 0.93)	Synonymous exp: 404.9, obs: 447, Z = -1.64, o/e = 1.10 (1.02 - 1.19)
chr1	3454664	3481113	ENSG00000130762	ARHGEF16	0.0	0.46	-0.34	1.02	Missense exp: 437.9, obs: 411, Z = 0.46, o/e = 0.94 (0.86 - 1.02)	Synonymous exp: 189.1, obs: 195, Z = -0.34, o/e = 1.03 (0.92 - 1.16)
chr1	3487950	3611508	ENSG00000162591	MEGF6	0.0	0.46	-2.15	0.91	Missense exp: 963.0, obs: 923, Z = 0.46, o/e = 0.96 (0.91 - 1.01)	Synonymous exp: 422.8, obs: 479, Z = -2.15, o/e = 1.13 (1.05 - 1.22)
chr1	3625014	3630127	ENSG00000158109	TPRG1L	0.0	0.78	-1.37	1.49	Missense exp: 122.4, obs: 98, Z = 0.78, o/e = 0.80 (0.68 - 0.95)	Synonymous exp: 49.7, obs: 62, Z = -1.37, o/e = 1.25 (1.02 - 1.54)
chr1	3630769	3650103	ENSG00000116213	WRAP73	0.0	0.01	-0.75	0.8	Missense exp: 291.3, obs: 291, Z = 0.01, o/e = 1.00 (0.91 - 1.10)	Synonymous exp: 133.9, obs: 145, Z = -0.75, o/e = 1.08 (0.94 - 1.24)
chr1	3652515	3736201	ENSG00000078900	TP73	1.0	1.85	-1.17	0.26	Missense exp: 430.1, obs: 322, Z = 1.85, o/e = 0.75 (0.68 - 0.82)	Synonymous exp: 185.7, obs: 206, Z = -1.17, o/e = 1.11 (0.99 - 1.25)
chr1	3752449	3771645	ENSG00000162592	CCDC27	0.0	-0.06	-0.79	1.43	Missense exp: 364.7, obs: 368, Z = -0.06, o/e = 1.01 (0.93 - 1.10)	Synonymous exp: 161.3, obs: 174, Z = -0.79, o/e = 1.08 (0.95 - 1.22)
chr1	3772786	3775982	ENSG00000235169	SMIM1	0.03	0.83	0.53	1.82	Missense exp: 46.9, obs: 31, Z = 0.83, o/e = 0.66 (0.49 - 0.89)	Synonymous exp: 21.1, obs: 18, Z = 0.53, o/e = 0.85 (0.59 - 1.26)
chr1	3778558	3796498	ENSG00000130764	LRRC47	0.87	1.03	-0.71	0.41	Missense exp: 314.2, obs: 263, Z = 1.03, o/e = 0.84 (0.76 - 0.93)	Synonymous exp: 141.2, obs: 152, Z = -0.71, o/e = 1.08 (0.94 - 1.23)
chr1	3812085	3857211	ENSG00000116198	CEP104	0.0	0.44	1.65	0.74	Missense exp: 531.8, obs: 503, Z = 0.44, o/e = 0.95 (0.88 - 1.02)	Synonymous exp: 200.8, obs: 171, Z = 1.65, o/e = 0.85 (0.75 - 0.97)
chr1	3857475	3885429	ENSG00000169598	DFFB	0.0	0.41	0.45	1.08	Missense exp: 203.7, obs: 187, Z = 0.41, o/e = 0.92 (0.81 - 1.04)	Synonymous exp: 85.3, obs: 80, Z = 0.45, o/e = 0.94 (0.78 - 1.13)
chr1	3889132	3900272	ENSG00000198912	C1orf174	0.0	0.02	-0.15	1.41	Missense exp: 144.8, obs: 144, Z = 0.02, o/e = 0.99 (0.87 - 1.14)	Synonymous exp: 58.6, obs: 60, Z = -0.15, o/e = 1.02 (0.83 - 1.27)
chr1	4654608	4792534	ENSG00000196581	AJAP1	0.99	0.94	0.16	0.19	Missense exp: 240.9, obs: 200, Z = 0.94, o/e = 0.83 (0.74 - 0.93)	Synonymous exp: 108.2, obs: 106, Z = 0.16, o/e = 0.98 (0.84 - 1.15)
chr1	5862810	5992425	ENSG00000131697	NPHP4	0.0	-0.24	-1.57	0.98	Missense exp: 889.6, obs: 910, Z = -0.24, o/e = 1.02 (0.97 - 1.08)	Synonymous exp: 397.3, obs: 437, Z = -1.57, o/e = 1.10 (1.02 - 1.19)
chr1	6045887	6101180	ENSG00000069424	KCNAB2	0.8	2.6	0.44	0.39	Missense exp: 263.6, obs: 145, Z = 2.60, o/e = 0.55 (0.48 - 0.63)	Synonymous exp: 111.9, obs: 106, Z = 0.44, o/e = 0.95 (0.81 - 1.11)
chr1	6101786	6180321	ENSG00000116254	CHD5	1.0	5.32	-0.05	0.16	Missense exp: 1182.5, obs: 668, Z = 5.32, o/e = 0.56 (0.53 - 0.60)	Synonymous exp: 516.5, obs: 518, Z = -0.05, o/e = 1.00 (0.93 - 1.08)
chr1	6185019	6199595	ENSG00000116251	RPL22	0.16	1.67	0.13	1.04	Missense exp: 71.8, obs: 32, Z = 1.67, o/e = 0.45 (0.34 - 0.60)	Synonymous exp: 27.9, obs: 27, Z = 0.13, o/e = 0.97 (0.71 - 1.34)
chr1	6206118	6221299	ENSG00000158286	RNF207	0.0	0.45	0.9	0.95	Missense exp: 377.9, obs: 353, Z = 0.45, o/e = 0.93 (0.86 - 1.02)	Synonymous exp: 171.0, obs: 156, Z = 0.90, o/e = 0.91 (0.80 - 1.04)
chr1	6221192	6235964	ENSG00000116237	ICMT	0.79	2.42	0.66	0.45	Missense exp: 132.2, obs: 54, Z = 2.42, o/e = 0.41 (0.33 - 0.51)	Synonymous exp: 56.3, obs: 50, Z = 0.66, o/e = 0.89 (0.71 - 1.12)
chr1	6244178	6245578	ENSG00000173673	HES3	0.28	0.58	-1.05	1.25	Missense exp: 82.8, obs: 68, Z = 0.58, o/e = 0.82 (0.68 - 1.00)	Synonymous exp: 37.8, obs: 46, Z = -1.05, o/e = 1.22 (0.96 - 1.56)
chr1	6247352	6261098	ENSG00000158292	GPR153	0.0	0.67	0.13	1.29	Missense exp: 271.0, obs: 240, Z = 0.67, o/e = 0.89 (0.80 - 0.99)	Synonymous exp: 122.9, obs: 121, Z = 0.13, o/e = 0.98 (0.85 - 1.15)
chr1	6264272	6385813	ENSG00000097021	ACOT7	0.76	1.98	-1.27	0.43	Missense exp: 267.3, obs: 176, Z = 1.98, o/e = 0.66 (0.58 - 0.75)	Synonymous exp: 113.7, obs: 131, Z = -1.27, o/e = 1.15 (1.00 - 1.33)
chr1	6415231	6419919	ENSG00000069812	HES2	0.0	0.84	1.0	1.72	Missense exp: 61.5, obs: 43, Z = 0.84, o/e = 0.70 (0.55 - 0.90)	Synonymous exp: 31.1, obs: 24, Z = 1.00, o/e = 0.77 (0.56 - 1.09)
chr1	6461150	6466175	ENSG00000215788	TNFRSF25	0.01	1.57	1.01	0.6	Missense exp: 278.7, obs: 205, Z = 1.57, o/e = 0.74 (0.66 - 0.83)	Synonymous exp: 121.2, obs: 107, Z = 1.01, o/e = 0.88 (0.75 - 1.04)
chr1	6467504	6497096	ENSG00000171680	PLEKHG5	0.0	1.49	-0.18	0.56	Missense exp: 659.7, obs: 552, Z = 1.49, o/e = 0.84 (0.78 - 0.90)	Synonymous exp: 284.1, obs: 288, Z = -0.18, o/e = 1.01 (0.92 - 1.12)
chr1	6521346	6554513	ENSG00000162408	NOL9	0.01	1.55	-0.71	0.55	Missense exp: 366.3, obs: 283, Z = 1.55, o/e = 0.77 (0.70 - 0.85)	Synonymous exp: 144.1, obs: 155, Z = -0.71, o/e = 1.08 (0.94 - 1.23)
chr1	6555306	6579755	ENSG00000173662	TAS1R1	0.0	0.41	0.53	1.17	Missense exp: 488.2, obs: 463, Z = 0.41, o/e = 0.95 (0.88 - 1.02)	Synonymous exp: 222.0, obs: 212, Z = 0.53, o/e = 0.95 (0.85 - 1.07)
chr1	6579993	6589280	ENSG00000204859	ZBTB48	0.0	1.21	-1.63	0.64	Missense exp: 417.3, obs: 348, Z = 1.21, o/e = 0.83 (0.76 - 0.91)	Synonymous exp: 172.7, obs: 200, Z = -1.63, o/e = 1.16 (1.03 - 1.30)
chr1	6590723	6602869	ENSG00000162413	KLHL21	0.0	1.49	-3.57	1.13	Missense exp: 343.7, obs: 266, Z = 1.49, o/e = 0.77 (0.70 - 0.86)	Synonymous exp: 160.5, obs: 218, Z = -3.57, o/e = 1.36 (1.22 - 1.52)
chr1	6613730	6624030	ENSG00000116273	PHF13	0.98	1.76	-1.88	0.25	Missense exp: 192.8, obs: 124, Z = 1.76, o/e = 0.64 (0.56 - 0.75)	Synonymous exp: 81.5, obs: 103, Z = -1.88, o/e = 1.26 (1.08 - 1.49)
chr1	6624867	6633562	ENSG00000041988	THAP3	0.01	0.2	-0.33	1.36	Missense exp: 141.8, obs: 135, Z = 0.20, o/e = 0.95 (0.83 - 1.10)	Synonymous exp: 60.7, obs: 64, Z = -0.33, o/e = 1.05 (0.86 - 1.30)
chr1	6634169	6701816	ENSG00000007923	DNAJC11	1.0	1.85	-0.38	0.24	Missense exp: 331.7, obs: 237, Z = 1.85, o/e = 0.71 (0.64 - 0.80)	Synonymous exp: 133.4, obs: 139, Z = -0.38, o/e = 1.04 (0.91 - 1.20)
chr1	6785453	7769706	ENSG00000171735	CAMTA1	1.0	3.26	0.71	0.17	Missense exp: 1017.9, obs: 725, Z = 3.26, o/e = 0.71 (0.67 - 0.76)	Synonymous exp: 435.9, obs: 417, Z = 0.71, o/e = 0.96 (0.88 - 1.04)
chr1	7771295	7781432	ENSG00000049245	VAMP3	0.0	0.12	-1.65	1.27	Missense exp: 60.6, obs: 58, Z = 0.12, o/e = 0.96 (0.77 - 1.19)	Synonymous exp: 22.1, obs: 32, Z = -1.65, o/e = 1.45 (1.09 - 1.86)
chr1	7784702	7845177	ENSG00000049246	PER3	0.0	-0.11	-1.26	0.84	Missense exp: 693.0, obs: 701, Z = -0.11, o/e = 1.01 (0.95 - 1.08)	Synonymous exp: 286.9, obs: 314, Z = -1.26, o/e = 1.09 (1.00 - 1.20)
chr1	7847765	7853431	ENSG00000049247	UTS2	0.03	0.28	0.94	1.27	Missense exp: 76.0, obs: 69, Z = 0.28, o/e = 0.91 (0.75 - 1.11)	Synonymous exp: 28.4, obs: 22, Z = 0.94, o/e = 0.78 (0.55 - 1.11)
chr1	7915870	7940839	ENSG00000049249	TNFRSF9	0.32	0.36	-0.01	0.61	Missense exp: 146.4, obs: 134, Z = 0.36, o/e = 0.92 (0.80 - 1.06)	Synonymous exp: 55.9, obs: 56, Z = -0.01, o/e = 1.00 (0.81 - 1.25)
chr1	7961691	7985505	ENSG00000116288	PARK7	0.75	0.16	0.34	0.53	Missense exp: 108.8, obs: 104, Z = 0.16, o/e = 0.96 (0.81 - 1.12)	Synonymous exp: 39.7, obs: 37, Z = 0.34, o/e = 0.93 (0.71 - 1.23)
chr1	8011726	8026309	ENSG00000116285	ERRFI1	0.01	0.9	-0.14	0.88	Missense exp: 250.9, obs: 211, Z = 0.90, o/e = 0.84 (0.75 - 0.94)	Synonymous exp: 95.2, obs: 97, Z = -0.14, o/e = 1.02 (0.86 - 1.21)
